"scenario","obs_per_trial","n_subj","method","class_true","run","class_pred","RI","RIc","NMI","NMIc","warnings"
"sc4","4","200","LCA","4","1","5","0.946783369803063","0.985295404814004","0.817453199892733","0.951512594024276","none"
"sc4","4","200","GLM","4","1","6","0.964088777743045","0.994998437011566","0.835802064127068","0.981746332702065","none"
"sc4","4","200","BMEM","4","1","6","0.947933729290403","0.947883713660519","0.792160997128173","0.838031613481325","none"
"sc4","4","200","LCA","4","2","4","0.980493904345108","0.980493904345108","0.938505478718462","0.938505478718462","none"
"sc4","4","200","GLM","4","2","6","0.969040325101594","0.967139731165989","0.864451630870242","0.89794764246851","none"
"sc4","4","200","BMEM","4","2","6","0.91297280400125","0.962888402625821","0.732314786784016","0.888717281912907","none"
"sc5","4","200","LCA","4","1","4","0.852253829321663","0.852253829321663","0.597083064712155","0.597083064712155","none"
"sc5","4","200","GLM","4","1","2","0.667846201938106","0.848402625820569","0.278757936828255","0.586750693521455","none"
"sc5","4","200","BMEM","4","1","3","0.702807127227258","0.71516098780869","0.340977072476241","0.368123111693764","none"
"sc5","4","200","LCA","4","2","4","0.833447952485152","0.833447952485152","0.586968969821378","0.586968969821378","none"
"sc5","4","200","GLM","4","2","2","0.646589559237262","0.836048765239137","0.264644840947689","0.599597967987248","none"
"sc5","4","200","BMEM","4","2","3","0.682600812753986","0.784182557049078","0.315057610421902","0.477339919171775","none"
"sc6","4","200","LCA","2","1","4","0.730115661144108","0.990046889653017","0.424929920820907","0.959456949772574","none"
"sc6","4","200","GLM","2","1","6","0.676248827758675","0.990046889653017","0.373092135084447","0.959456949772574","none"
"sc6","4","200","BMEM","2","1","6","0.681400437636762","0.990046889653017","0.380272384214337","0.959456949772574","none"
"sc6","4","200","LCA","2","2","3","0.84980306345733","0.932428884026258","0.537388241030838","0.793716335398237","none"
"sc6","4","200","GLM","2","2","6","0.676148796498906","0.932428884026258","0.365777430367992","0.793716335398237","none"
"sc6","4","200","BMEM","2","2","6","0.676148796498906","0.932428884026258","0.365777430367992","0.793716335398237","2 Warnings: There were 1 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
