"scenario","obs_per_trial","n_subj","method","class_true","run","class_pred","RI","RIc","NMI","NMIc","warnings"
"sc1","2","100","LCA","4","1","4","0.990187734668335","0.990187734668335","0.968504067015819","0.968504067015819","none"
"sc1","2","100","GLM_gauss_slope","4","1","2","0.741677096370463","0.990187734668335","0.470772474490801","0.968504067015819","none"
"sc1","2","100","BMEM_gaus_slope","4","1","3","0.748886107634543","0.980375469336671","0.493879395487043","0.938405064474112","none"
"sc1","2","100","LCA","4","2","4","0.990588235294118","0.990588235294118","0.969662263399604","0.969662263399604","none"
"sc1","2","100","GLM_gauss_slope","4","2","2","0.750888610763454","0.990588235294118","0.500851786338305","0.969662263399604","none"
"sc1","2","100","BMEM_gaus_slope","4","2","2","0.740675844806008","0.980375469336671","0.470071094941011","0.938541068551032","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","100","LCA","4","3","4","1","1","1","1","none"
"sc1","2","100","GLM_gauss_slope","4","3","3","0.884856070087609","0.990588235294118","0.760023381839684","0.969687567061217","none"
"sc1","2","100","BMEM_gaus_slope","4","3","2","0.749687108886108","0.990588235294118","0.500000463680805","0.969687567061217","3 Warnings: The largest R-hat is 1.06, indicating chains have not mixed.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#r-hat. Next warning: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","100","LCA","4","4","4","1","1","1","1","none"
"sc1","2","100","GLM_gauss_slope","4","4","2","0.759699624530663","1","0.50656611624816","1","none"
"sc1","2","100","BMEM_gaus_slope","4","4","2","0.746883604505632","1","0.497025943793583","1","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","100","LCA","4","5","4","0.990387984981226","0.990387984981226","0.968762718067819","0.968762718067819","none"
"sc1","2","100","GLM_gauss_slope","4","5","2","0.752090112640801","0.990387984981226","0.501741521396687","0.968762718067819","none"
"sc1","2","100","BMEM_gaus_slope","4","5","2","0.752090112640801","0.990387984981226","0.501741521396687","0.968762718067819","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","200","LCA","4","1","4","0.984540337711069","0.984540337711069","0.945240134221599","0.945240134221599","none"
"sc1","2","200","GLM_gauss_slope","4","1","3","0.892082551594747","0.984540337711069","0.729181454053647","0.945240134221599","none"
"sc1","2","200","BMEM_gaus_slope","4","1","2","0.747792370231395","0.989393370856785","0.484324204254742","0.963429049645536","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","200","LCA","4","2","4","0.995397123202001","0.995397123202001","0.982478308046062","0.982478308046062","none"
