"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","lmem.class","lmem.tc","bm.class","bm.tc"
"1","FB",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","FB",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","FB",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","FB",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","FB",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","FB",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","FB",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","FB",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","LR",0,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","LR",0,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","LR",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","LR",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","LR",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","LR",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","LR",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"1","LR",1,"4",1,0.781,"3","2",1,0.75,"1","1","1","1"
"2","FB",1,"2",0.978,0.23,"4","3",1,0.25,"2","2","1","1"
"2","FB",1,"2",0.978,0.23,"4","3",1,0.25,"2","2","1","1"
"2","FB",1,"2",0.978,0.23,"4","3",1,0.25,"2","2","1","1"
"2","FB",1,"2",0.978,0.23,"4","3",1,0.25,"2","2","1","1"
"2","FB",1,"2",0.978,0.23,"4","3",1,0.25,"2","2","1","1"
"2","FB",1,"2",0.978,0.23,"4","3",1,0.25,"2","2","1","1"
"2","FB",1,"2",0.978,0.23,"4","3",1,0.25,"2","2","1","1"
"2","FB",1,"2",0.978,0.23,"4","3",1,0.25,"2","2","1","1"
"2","LR",0,"2",0.978,0.23,"4","3",1,0.25,"2","2","1","1"
