"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend"
1,"FB",0,"25",0,1,"4","4",0,1
1,"FB",0,"25",0,1,"4","4",0,1
1,"FB",0,"25",0,1,"4","4",0,1
1,"FB",0,"25",0,1,"4","4",0,1
1,"LR",1,"25",0,1,"4","4",0,1
1,"LR",1,"25",0,1,"4","4",0,1
1,"LR",1,"25",0,1,"4","4",0,1
1,"LR",1,"25",0,1,"4","4",0,1
2,"FB",1,"5",1,1,"3","2",1,1
2,"FB",1,"5",1,1,"3","2",1,1
2,"FB",1,"5",1,1,"3","2",1,1
2,"FB",1,"5",1,1,"3","2",1,1
2,"LR",1,"5",1,1,"3","2",1,1
2,"LR",1,"5",1,1,"3","2",1,1
2,"LR",1,"5",1,1,"3","2",1,1
2,"LR",1,"5",1,1,"3","2",1,1
3,"FB",1,"5",0.957,1,"3","2",1,1
3,"FB",1,"5",0.957,1,"3","2",1,1
3,"FB",1,"5",0.957,1,"3","2",1,1
3,"FB",1,"5",0.957,1,"3","2",1,1
3,"LR",1,"5",0.957,1,"3","2",1,1
3,"LR",1,"5",0.957,1,"3","2",1,1
3,"LR",1,"5",0.957,1,"3","2",1,1
3,"LR",1,"5",0.957,1,"3","2",1,1
4,"FB",0,"21",0,0.017,"2","3",0,0
4,"FB",0,"21",0,0.017,"2","3",0,0
4,"FB",0,"21",0,0.017,"2","3",0,0
4,"FB",0,"21",0,0.017,"2","3",0,0
4,"LR",0,"21",0,0.017,"2","3",0,0
4,"LR",0,"21",0,0.017,"2","3",0,0
4,"LR",0,"21",0,0.017,"2","3",0,0
4,"LR",0,"21",0,0.017,"2","3",0,0
5,"FB",1,"5",0.989,0.995,"3","2",1,0.75
5,"FB",1,"5",0.989,0.995,"3","2",1,0.75
5,"FB",1,"5",0.989,0.995,"3","2",1,0.75
5,"FB",1,"5",0.989,0.995,"3","2",1,0.75
5,"LR",0,"5",0.989,0.995,"3","2",1,0.75
5,"LR",1,"5",0.989,0.995,"3","2",1,0.75
5,"LR",1,"5",0.989,0.995,"3","2",1,0.75
5,"LR",1,"5",0.989,0.995,"3","2",1,0.75
6,"FB",0,"21",0.046,0.034,"2","3",0,0
6,"FB",0,"21",0.046,0.034,"2","3",0,0
6,"FB",0,"21",0.046,0.034,"2","3",0,0
6,"FB",0,"21",0.046,0.034,"2","3",0,0
6,"LR",0,"21",0.046,0.034,"2","3",0,0
6,"LR",0,"21",0.046,0.034,"2","3",0,0
6,"LR",0,"21",0.046,0.034,"2","3",0,0
6,"LR",0,"21",0.046,0.034,"2","3",0,0
7,"FB",1,"1",0.996,0.048,"1","1",1,0.25
7,"FB",1,"1",0.996,0.048,"1","1",1,0.25
7,"FB",1,"1",0.996,0.048,"1","1",1,0.25
7,"FB",1,"1",0.996,0.048,"1","1",1,0.25
7,"LR",0,"1",0.996,0.048,"1","1",1,0.25
7,"LR",0,"1",0.996,0.048,"1","1",1,0.25
7,"LR",0,"1",0.996,0.048,"1","1",1,0.25
7,"LR",1,"1",0.996,0.048,"1","1",1,0.25
8,"FB",0,"25",0.016,1,"4","4",0,1
8,"FB",0,"25",0.016,1,"4","4",0,1
8,"FB",0,"25",0.016,1,"4","4",0,1
8,"FB",0,"25",0.016,1,"4","4",0,1
8,"LR",1,"25",0.016,1,"4","4",0,1
8,"LR",1,"25",0.016,1,"4","4",0,1
8,"LR",1,"25",0.016,1,"4","4",0,1
8,"LR",1,"25",0.016,1,"4","4",0,1
9,"FB",1,"1",0.979,0,"1","1",1,0
9,"FB",1,"1",0.979,0,"1","1",1,0
9,"FB",1,"1",0.979,0,"1","1",1,0
9,"FB",1,"1",0.979,0,"1","1",1,0
9,"LR",0,"1",0.979,0,"1","1",1,0
9,"LR",0,"1",0.979,0,"1","1",1,0
9,"LR",0,"1",0.979,0,"1","1",1,0
9,"LR",0,"1",0.979,0,"1","1",1,0
10,"FB",1,"5",0.887,0.918,"3","2",1,1
10,"FB",1,"5",0.887,0.918,"3","2",1,1
10,"FB",1,"5",0.887,0.918,"3","2",1,1
10,"FB",1,"5",0.887,0.918,"3","2",1,1
10,"LR",1,"5",0.887,0.918,"3","2",1,1
10,"LR",1,"5",0.887,0.918,"3","2",1,1
10,"LR",1,"5",0.887,0.918,"3","2",1,1
10,"LR",1,"5",0.887,0.918,"3","2",1,1
11,"FB",1,"1",1,0.084,"1","1",1,0
11,"FB",1,"1",1,0.084,"1","1",1,0
11,"FB",1,"1",1,0.084,"1","1",1,0
11,"FB",1,"1",1,0.084,"1","1",1,0
11,"LR",0,"1",1,0.084,"1","1",1,0
11,"LR",0,"1",1,0.084,"1","1",1,0
11,"LR",0,"1",1,0.084,"1","1",1,0
11,"LR",0,"1",1,0.084,"1","1",1,0
12,"FB",0,"21",0.022,0.013,"2","3",0,0
12,"FB",0,"21",0.022,0.013,"2","3",0,0
12,"FB",0,"21",0.022,0.013,"2","3",0,0
12,"FB",0,"21",0.022,0.013,"2","3",0,0
12,"LR",0,"21",0.022,0.013,"2","3",0,0
12,"LR",0,"21",0.022,0.013,"2","3",0,0
12,"LR",0,"21",0.022,0.013,"2","3",0,0
12,"LR",0,"21",0.022,0.013,"2","3",0,0
13,"FB",0,"25",0,1,"4","4",0,1
13,"FB",0,"25",0,1,"4","4",0,1
13,"FB",0,"25",0,1,"4","4",0,1
13,"FB",0,"25",0,1,"4","4",0,1
13,"LR",1,"25",0,1,"4","4",0,1
13,"LR",1,"25",0,1,"4","4",0,1
13,"LR",1,"25",0,1,"4","4",0,1
13,"LR",1,"25",0,1,"4","4",0,1
14,"FB",1,"5",0.986,1,"3","2",1,1
14,"FB",1,"5",0.986,1,"3","2",1,1
14,"FB",1,"5",0.986,1,"3","2",1,1
14,"FB",1,"5",0.986,1,"3","2",1,1
14,"LR",1,"5",0.986,1,"3","2",1,1
14,"LR",1,"5",0.986,1,"3","2",1,1
14,"LR",1,"5",0.986,1,"3","2",1,1
14,"LR",1,"5",0.986,1,"3","2",1,1
15,"FB",0,"5",0.932,1,"4","4",0.5,1
15,"FB",0,"5",0.932,1,"4","4",0.5,1
