"scenario","obs_per_trial","n_subj","method","class_true","run","class_pred","RI","RIc","adj.RI","adj.RIc","NMI","NMIc","warnings"
"sc7","2","100","LCA","3","1","3","0.961616161616162","0.961616161616162","0.912857167477128","0.912857167477128","0.889660426677339","0.889660426677339","none"
"sc7","2","100","GLM","3","1","6","0.874343434343434","0.960808080808081","1","0.911190841753233","0.618601578257703","0.888434243144319","none"
"sc7","2","100","LMEM","3","1","3","0.905050505050505","0.905050505050505","0.785384920654688","0.785384920654688","0.769800939759711","0.769800939759711","none"
"sc7","2","100","BMEM","3","1","3","0.905050505050505","0.905050505050505","0.785384920654688","0.785384920654688","0.769800939759711","0.769800939759711","none"
"sc7","2","100","BBMEM","3","1","0","0.874343434343434","0.914747474747475","0.88894635957039","0.808147464422004","0.618601578257703","0.804691489568063","none"
"sc7","2","100","LCA","3","2","3","0.959191919191919","0.959191919191919","0.908566577412625","0.908566577412625","0.886917745246089","0.886917745246089","none"
"sc7","2","100","GLM","3","2","6","0.89979797979798","0.919191919191919","0.98193718688317","0.818403036301233","0.676047000235646","0.798483076147919","2 Warnings: Model failed to converge with max|grad| = 0.130678 (tol = 0.002, component 1). Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower). Next warning: Model is nearly unidentifiable: very large eigenvalue
 - Rescale variables?. Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower)"
"sc7","2","100","LMEM","3","2","3","0.919191919191919","0.919191919191919","0.819908873890188","0.819908873890188","0.816985360446635","0.816985360446635","none"
"sc7","2","100","BMEM","3","2","2","0.739393939393939","0.919191919191919","0.477120297460453","0.819908873890188","0.445710138416606","0.816985360446635","none"
"sc7","2","100","BBMEM","3","2","0","0.876767676767677","0.93030303030303","0.98193718688317","0.843815705550604","0.633326075835577","0.861086295578519","none"
"sc7","2","100","LCA","3","3","3","0.946262626262626","0.946262626262626","0.87890768051051","0.87890768051051","0.862556917790483","0.862556917790483","none"
"sc7","2","100","GLM","3","3","6","0.84969696969697","0.987474747474748","0.81464969494429","0.971697137048752","0.593835147206088","0.958479264615944","none"
"sc7","2","100","LMEM","3","3","3","0.871515151515152","0.871515151515152","0.712240921311667","0.712240921311667","0.719517852189815","0.719517852189815","none"
"sc7","2","100","BMEM","3","3","2","0.728686868686869","0.871515151515152","0.455814104261101","0.712240921311667","0.434605221278185","0.719517852189815","none"
"sc7","2","100","BBMEM","3","3","0","0.852323232323232","0.874747474747475","0.868866083319425","0.719308553342442","0.608411249787866","0.758091275663892","none"
"sc7","2","100","LCA","3","4","3","0.974141414141414","0.974141414141414","0.941311781715397","0.941311781715397","0.918097297485987","0.918097297485987","none"
"sc7","2","100","GLM","3","4","6","0.898383838383838","0.938383838383838","0.973221297923822","0.860223320499524","0.646296843887269","0.84612537701532","none"
"sc7","2","100","LMEM","3","4","3","0.914949494949495","0.914949494949495","0.808033741182375","0.808033741182375","0.771621521407216","0.771621521407216","none"
"sc7","2","100","BMEM","3","4","3","0.914949494949495","0.914949494949495","0.808033741182375","0.808033741182375","0.771621521407216","0.771621521407216","none"
"sc7","2","100","BBMEM","3","4","0","0.902424242424242","0.923232323232323","0.85068509193114","0.825934581385161","0.667582499152104","0.815739613780831","none"
"sc7","2","100","LCA","3","5","3","0.964242424242424","0.964242424242424","0.919337450347167","0.919337450347167","0.906375268858497","0.906375268858497","none"
"sc7","2","100","GLM","3","5","6","0.872121212121212","0.964242424242424","0.933968852863336","0.919337450347167","0.623021340029401","0.906375268858497","none"
"sc7","2","100","LMEM","3","5","3","0.950909090909091","0.950909090909091","0.889122531839075","0.889122531839075","0.849558192864857","0.849558192864857","none"
"sc7","2","100","BMEM","3","5","2","0.759393939393939","0.950909090909091","0.518787878787879","0.889122531839075","0.475573336285887","0.849558192864857","none"
"sc7","2","100","BBMEM","3","5","0","0.872121212121212","0.912727272727273","0.933968852863336","0.805090542115172","0.623021340029401","0.816952631008834","none"
"sc7","2","200","LCA","3","1","3","0.93","0.93","0.842059341934645","0.842059341934645","0.797863121159154","0.797863121159154","none"
"sc7","2","200","GLM","3","1","6","0.854723618090452","0.93","0.764086680710482","0.842059341934645","0.564788860677753","0.797863121159154","none"
"sc7","2","200","LMEM","3","1","3","0.888743718592965","0.888743718592965","0.749896603425508","0.749896603425508","0.751858880953454","0.751858880953454","none"
"sc7","2","200","BMEM","3","1","2","0.701959798994975","0.888743718592965","0.40684209109621","0.749896603425508","0.406814477575339","0.751858880953454","none"
"sc7","2","200","BBMEM","3","1","0","0.859396984924623","0.891407035175879","0.951292540516813","0.756096506876876","0.586049202095088","0.735509016186975","none"
"sc7","2","200","LCA","3","2","3","0.943015075376884","0.943015075376884","0.87217440353861","0.87217440353861","0.832460635350964","0.832460635350964","none"
