"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","glm.class","glm.tc","lmem.class","lmem.tc","bm.class","bm.tc","bbm.class","bbm.tc"
"1","FB",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","FB",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"1","LR",1,"5",1,1,"5","6",1,1,"1","1","1","1","1","1","1","1"
"2","FB",0,"5",0.936,0.947,"5","6",0.875,1,"2","2","1","1","1","1","2","2"
"2","FB",1,"5",0.936,0.947,"5","6",0.875,1,"2","2","1","1","1","1","2","2"
"2","FB",1,"5",0.936,0.947,"5","6",0.875,1,"2","2","1","1","1","1","2","2"
"2","FB",1,"5",0.936,0.947,"5","6",0.875,1,"2","2","1","1","1","1","2","2"
"2","FB",1,"5",0.936,0.947,"5","6",0.875,1,"2","2","1","1","1","1","2","2"
