"scenario","obs_per_trial","n_subj","method","class_true","run","class_pred","RI","RIc","NMI","NMIc","warnings"
"sc1","2","100","LCA","4","1","4","0.990187734668335","0.990187734668335","0.968504067015819","0.968504067015819","none"
"sc1","2","100","GLM","4","1","2","0.741677096370463","0.990187734668335","0.470772474490801","0.968504067015819","none"
"sc1","2","100","BMEM","4","1","2","0.741677096370463","0.990187734668335","0.470772474490801","0.968504067015819","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","100","LCA","4","2","4","0.990588235294118","0.990588235294118","0.969662263399604","0.969662263399604","none"
"sc1","2","100","GLM","4","2","2","0.750888610763454","0.990588235294118","0.500851786338305","0.969662263399604","none"
"sc1","2","100","BMEM","4","2","3","0.884856070087609","0.990588235294118","0.759822998174834","0.969662263399604","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","100","LCA","4","3","4","1","1","1","1","none"
"sc1","2","100","GLM","4","3","3","0.884856070087609","0.990588235294118","0.760023381839684","0.969687567061217","none"
"sc1","2","100","BMEM","4","3","3","0.884856070087609","0.990588235294118","0.760023381839684","0.969687567061217","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","100","LCA","4","4","4","1","1","1","1","none"
"sc1","2","100","GLM","4","4","2","0.759699624530663","1","0.50656611624816","1","none"
"sc1","2","100","BMEM","4","4","2","0.759699624530663","1","0.50656611624816","1","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","100","LCA","4","5","4","0.990387984981226","0.990387984981226","0.968762718067819","0.968762718067819","none"
"sc1","2","100","GLM","4","5","2","0.752090112640801","0.990387984981226","0.501741521396687","0.968762718067819","none"
"sc1","2","100","BMEM","4","5","2","0.743679599499374","0.990387984981226","0.472286666371505","0.968762718067819","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","200","LCA","4","1","4","0.984540337711069","0.984540337711069","0.945240134221599","0.945240134221599","none"
"sc1","2","200","GLM","4","1","3","0.892082551594747","0.984540337711069","0.729181454053647","0.945240134221599","none"
"sc1","2","200","BMEM","4","1","3","0.892082551594747","0.980287679799875","0.729181454053647","0.927852187687004","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","200","LCA","4","2","4","0.995397123202001","0.995397123202001","0.982478308046062","0.982478308046062","none"
"sc1","2","200","GLM","4","2","3","0.884928080050031","1","0.746651584248473","1","none"
"sc1","2","200","BMEM","4","2","3","0.884928080050031","1","0.746651584248473","1","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","200","LCA","4","3","4","0.994896810506567","0.994896810506567","0.982027972757293","0.982027972757293","none"
"sc1","2","200","GLM","4","3","4","0.994896810506567","0.994896810506567","0.982027972757293","0.982027972757293","none"
"sc1","2","200","BMEM","4","3","4","0.994896810506567","0.994896810506567","0.982027972757293","0.982027972757293","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","200","LCA","4","4","4","0.994696685428393","0.994696685428393","0.98192338257259","0.98192338257259","none"
"sc1","2","200","GLM","4","4","2","0.745240775484678","0.994696685428393","0.482526154116181","0.98192338257259","none"
"sc1","2","200","BMEM","4","4","2","0.745240775484678","0.994696685428393","0.482526154116181","0.98192338257259","3 Warnings: The largest R-hat is 1.06, indicating chains have not mixed.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#r-hat. Next warning: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","200","LCA","4","5","4","0.994696685428393","0.994696685428393","0.981651560433106","0.981651560433106","none"
"sc1","2","200","GLM","4","5","3","0.899086929330832","0.994696685428393","0.762173918520824","0.981651560433106","none"
"sc1","2","200","BMEM","4","5","3","0.899086929330832","0.994696685428393","0.762173918520824","0.981651560433106","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","400","LCA","4","1","4","0.989796811503595","0.989796811503595","0.961321099604307","0.961321099604307","none"
"sc1","2","400","GLM","4","1","2","0.749246639574867","0.989796811503595","0.482740446111765","0.961321099604307","none"
"sc1","2","400","BMEM","4","1","2","0.749246639574867","0.989796811503595","0.482740446111765","0.961321099604307","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","400","LCA","4","2","4","0.997499218505783","0.997499218505783","0.989785563141747","0.989785563141747","none"
"sc1","2","400","GLM","4","2","3","0.88196311347296","0.997499218505783","0.749254624928383","0.989785563141747","none"
"sc1","2","400","BMEM","4","2","3","0.88196311347296","0.997499218505783","0.749254624928383","0.989785563141747","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","400","LCA","4","3","4","0.982657080337605","0.980318849640513","0.940386261911491","0.930381643083939","none"
"sc1","2","400","GLM","4","3","2","0.735267271022194","0.980318849640513","0.451233755855801","0.930381643083939","none"
"sc1","2","400","BMEM","4","3","2","0.735267271022194","0.982657080337605","0.451233755855801","0.940386261911491","1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"sc1","2","400","LCA","4","4","4","0.994985933104095","0.994985933104095","0.979605184782139","0.979605184782139","none"
"sc1","2","400","GLM","4","4","3","0.882138168177556","0.994985933104095","0.741806128443249","0.979605184782139","none"
"sc1","2","400","BMEM","4","4","3","0.882138168177556","0.994985933104095","0.741806128443249","0.979605184782139","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","2","400","LCA","4","5","4","0.986770865895592","0.986770865895592","0.954348426790793","0.954348426790793","none"
"sc1","2","400","GLM","4","5","2","0.74432010003126","0.986770865895592","0.487668950645327","0.954348426790793","none"
"sc1","2","400","BMEM","4","5","2","0.74432010003126","0.986770865895592","0.487668950645327","0.954348426790793","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","4","100","LCA","4","1","4","1","1","1","1","none"
"sc1","4","100","GLM","4","1","3","0.881125703564728","1","0.755926024559091","1","none"
"sc1","4","100","BMEM","4","1","3","0.881125703564728","1","0.755926024559091","1","2 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","4","100","LCA","4","2","4","1","1","1","1","none"
"sc1","4","100","GLM","4","2","2","0.75104440275172","1","0.500851786338304","1","none"
"sc1","4","100","BMEM","4","2","2","0.75104440275172","1","0.500851786338304","1","3 Warnings: The largest R-hat is 1.14, indicating chains have not mixed.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#r-hat. Next warning: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","4","100","LCA","4","3","4","1","1","1","1","none"
"sc1","4","100","GLM","4","3","2","0.749843652282677","1","0.500000463680805","1","none"
"sc1","4","100","BMEM","4","3","2","0.749843652282677","1","0.500000463680805","1","3 Warnings: The largest R-hat is 1.12, indicating chains have not mixed.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#r-hat. Next warning: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","4","100","LCA","4","4","4","1","1","1","1","none"
"sc1","4","100","GLM","4","4","5","0.99119449656035","1","0.951620102178069","1","none"
"sc1","4","100","BMEM","4","4","5","0.99119449656035","1","0.951620102178069","1","3 Warnings: The largest R-hat is 1.08, indicating chains have not mixed.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#r-hat. Next warning: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess. Next warning: Tail Effective Samples Size (ESS) is too low, indicating posterior variances and tail quantiles may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#tail-ess"
"sc1","4","100","LCA","4","5","4","1","1","1","1","none"
"sc1","4","100","GLM","4","5","3","0.876722951844903","1","0.751669768036975","1","none"
