"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","lmem.class","lmem.tc","bm.class","bm.tc"
"1","FB",1,"2",1,0.18,"3","3",1,0,"1","1","1","4"
"1","FB",1,"2",1,0.18,"3","3",1,0,"1","1","1","4"
"1","FB",1,"2",1,0.18,"3","3",1,0,"1","1","1","4"
"1","FB",1,"2",1,0.18,"3","3",1,0,"1","1","1","4"
"1","LR",0,"2",1,0.18,"3","3",1,0,"1","1","1","4"
"1","LR",0,"2",1,0.18,"3","3",1,0,"1","1","1","4"
"1","LR",0,"2",1,0.18,"3","3",1,0,"1","1","1","4"
"1","LR",0,"2",1,0.18,"3","3",1,0,"1","1","1","4"
"2","FB",0,"16",0.187,0,"1","2",0.25,0,"2","2","1","1"
"2","FB",0,"16",0.187,0,"1","2",0.25,0,"2","2","1","1"
"2","FB",0,"16",0.187,0,"1","2",0.25,0,"2","2","1","1"
"2","FB",1,"16",0.187,0,"1","2",0.25,0,"2","2","1","1"
"2","LR",0,"16",0.187,0,"1","2",0.25,0,"2","2","1","1"
"2","LR",0,"16",0.187,0,"1","2",0.25,0,"2","2","1","1"
"2","LR",0,"16",0.187,0,"1","2",0.25,0,"2","2","1","1"
"2","LR",0,"16",0.187,0,"1","2",0.25,0,"2","2","1","1"
"3","FB",0,"24",0,0.628,"2","4",0,0.75,"3","3","2","2"
"3","FB",0,"24",0,0.628,"2","4",0,0.75,"3","3","2","2"
"3","FB",0,"24",0,0.628,"2","4",0,0.75,"3","3","2","2"
"3","FB",0,"24",0,0.628,"2","4",0,0.75,"3","3","2","2"
"3","LR",0,"24",0,0.628,"2","4",0,0.75,"3","3","2","2"
"3","LR",1,"24",0,0.628,"2","4",0,0.75,"3","3","2","2"
"3","LR",1,"24",0,0.628,"2","4",0,0.75,"3","3","2","2"
"3","LR",1,"24",0,0.628,"2","4",0,0.75,"3","3","2","2"
"4","FB",0,"24",0,0.806,"2","4",0,1,"4","3","3","2"
"4","FB",0,"24",0,0.806,"2","4",0,1,"4","3","3","2"
"4","FB",0,"24",0,0.806,"2","4",0,1,"4","3","3","2"
"4","FB",0,"24",0,0.806,"2","4",0,1,"4","3","3","2"
"4","LR",1,"24",0,0.806,"2","4",0,1,"4","3","3","2"
"4","LR",1,"24",0,0.806,"2","4",0,1,"4","3","3","2"
"4","LR",1,"24",0,0.806,"2","4",0,1,"4","3","3","2"
"4","LR",1,"24",0,0.806,"2","4",0,1,"4","3","3","2"
"5","FB",1,"10",0.795,1,"4","1",1,1,"5","4","4","3"
"5","FB",1,"10",0.795,1,"4","1",1,1,"5","4","4","3"
"5","FB",1,"10",0.795,1,"4","1",1,1,"5","4","4","3"
"5","FB",1,"10",0.795,1,"4","1",1,1,"5","4","4","3"
"5","LR",1,"10",0.795,1,"4","1",1,1,"5","4","4","3"
"5","LR",1,"10",0.795,1,"4","1",1,1,"5","4","4","3"
"5","LR",1,"10",0.795,1,"4","1",1,1,"5","4","4","3"
"5","LR",1,"10",0.795,1,"4","1",1,1,"5","4","4","3"
"6","FB",1,"2",1,0.297,"3","3",1,0.25,"1","1","5","4"
"6","FB",1,"2",1,0.297,"3","3",1,0.25,"1","1","5","4"
"6","FB",1,"2",1,0.297,"3","3",1,0.25,"1","1","5","4"
"6","FB",1,"2",1,0.297,"3","3",1,0.25,"1","1","5","4"
"6","LR",0,"2",1,0.297,"3","3",1,0.25,"1","1","5","4"
"6","LR",0,"2",1,0.297,"3","3",1,0.25,"1","1","5","4"
"6","LR",0,"2",1,0.297,"3","3",1,0.25,"1","1","5","4"
"6","LR",1,"2",1,0.297,"3","3",1,0.25,"1","1","5","4"
"7","FB",1,"10",0.746,0.982,"4","1",1,1,"5","4","4","3"
"7","FB",1,"10",0.746,0.982,"4","1",1,1,"5","4","4","3"
"7","FB",1,"10",0.746,0.982,"4","1",1,1,"5","4","4","3"
"7","FB",1,"10",0.746,0.982,"4","1",1,1,"5","4","4","3"
"7","LR",1,"10",0.746,0.982,"4","1",1,1,"5","4","4","3"
"7","LR",1,"10",0.746,0.982,"4","1",1,1,"5","4","4","3"
"7","LR",1,"10",0.746,0.982,"4","1",1,1,"5","4","4","3"
