"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","lmem.class","lmem.tc","bm.class","bm.tc"
"1","FB",1,"2",1,0.287,"2","3",1,0.5,"1","4","1","4"
"1","FB",1,"2",1,0.287,"2","3",1,0.5,"1","4","1","4"
"1","FB",1,"2",1,0.287,"2","3",1,0.5,"1","4","1","4"
"1","FB",1,"2",1,0.287,"2","3",1,0.5,"1","4","1","4"
"1","LR",0,"2",1,0.287,"2","3",1,0.5,"1","4","1","4"
"1","LR",0,"2",1,0.287,"2","3",1,0.5,"1","4","1","4"
"1","LR",1,"2",1,0.287,"2","3",1,0.5,"1","4","1","4"
"1","LR",1,"2",1,0.287,"2","3",1,0.5,"1","4","1","4"
"2","FB",0,"16",0.146,0.019,"4","2",0.25,0,"2","2","2","2"
"2","FB",0,"16",0.146,0.019,"4","2",0.25,0,"2","2","2","2"
"2","FB",0,"16",0.146,0.019,"4","2",0.25,0,"2","2","2","2"
"2","FB",1,"16",0.146,0.019,"4","2",0.25,0,"2","2","2","2"
"2","LR",0,"16",0.146,0.019,"4","2",0.25,0,"2","2","2","2"
"2","LR",0,"16",0.146,0.019,"4","2",0.25,0,"2","2","2","2"
"2","LR",0,"16",0.146,0.019,"4","2",0.25,0,"2","2","2","2"
"2","LR",0,"16",0.146,0.019,"4","2",0.25,0,"2","2","2","2"
"3","FB",0,"24",0,0.82,"3","4",0,1,"3","3","3","3"
"3","FB",0,"24",0,0.82,"3","4",0,1,"3","3","3","3"
"3","FB",0,"24",0,0.82,"3","4",0,1,"3","3","3","3"
"3","FB",0,"24",0,0.82,"3","4",0,1,"3","3","3","3"
"3","LR",1,"24",0,0.82,"3","4",0,1,"3","3","3","3"
"3","LR",1,"24",0,0.82,"3","4",0,1,"3","3","3","3"
"3","LR",1,"24",0,0.82,"3","4",0,1,"3","3","3","3"
"3","LR",1,"24",0,0.82,"3","4",0,1,"3","3","3","3"
"4","FB",0,"24",0,0.67,"3","4",0,0.5,"4","3","4","3"
"4","FB",0,"24",0,0.67,"3","4",0,0.5,"4","3","4","3"
"4","FB",0,"24",0,0.67,"3","4",0,0.5,"4","3","4","3"
"4","FB",0,"24",0,0.67,"3","4",0,0.5,"4","3","4","3"
"4","LR",0,"24",0,0.67,"3","4",0,0.5,"4","3","4","3"
"4","LR",0,"24",0,0.67,"3","4",0,0.5,"4","3","4","3"
"4","LR",1,"24",0,0.67,"3","4",0,0.5,"4","3","4","3"
"4","LR",1,"24",0,0.67,"3","4",0,0.5,"4","3","4","3"
"5","FB",0,"10",0.7,1,"3","4",0.25,1,"3","3","3","3"
"5","FB",0,"10",0.7,1,"3","4",0.25,1,"3","3","3","3"
"5","FB",0,"10",0.7,1,"3","4",0.25,1,"3","3","3","3"
"5","FB",1,"10",0.7,1,"3","4",0.25,1,"3","3","3","3"
"5","LR",1,"10",0.7,1,"3","4",0.25,1,"3","3","3","3"
"5","LR",1,"10",0.7,1,"3","4",0.25,1,"3","3","3","3"
"5","LR",1,"10",0.7,1,"3","4",0.25,1,"3","3","3","3"
"5","LR",1,"10",0.7,1,"3","4",0.25,1,"3","3","3","3"
