scenario,obs_per_trial,n_subj,method,class_true,run,class_pred,RI,RIc,adj.RI,adj.RIc,NMI,NMIc,warnings
sc1,2,100,LCA,4,1,4,0.99010101010101,0.99010101010101,0.973298119804528,0.973298119804528,0.968504067015819,0.968504067015819,none
sc1,2,100,GLM,4,1,5,0.938585858585859,0.989090909090909,0.809394705014316,0.970532498586155,0.77596061312486,0.968504067015819,none
sc1,2,100,BMEM,4,1,6,0.918787878787879,0.980606060606061,0.85531605243159,0.947613330819832,0.711842211563875,0.939049211990637,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
sc1,2,100,LCA,4,2,4,0.990505050505051,0.990505050505051,0.974244625246843,0.974244625246843,0.969662263399604,0.969662263399604,none
sc1,2,100,GLM,4,2,5,0.911919191919192,0.917777777777778,0.842748627170555,0.777219593485057,0.727434624960598,0.79524362009124,none
sc1,2,100,BMEM,4,2,6,0.933131313131313,1.0,0.970774711672,1.0,0.748246020465462,1.0,none
sc1,2,100,LCA,4,3,4,1.0,1.0,1.0,1.0,1.0,1.0,none
sc1,2,100,GLM,4,3,6,0.944444444444444,0.971111111111111,0.915082221975547,0.921593877886937,0.79925233590025,0.918513576305613,none
sc1,2,100,BMEM,4,3,6,0.962626262626263,0.990505050505051,0.949678885209404,0.974201099023201,0.843345778152901,0.969687567061217,"2 Warnings: There were 1 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
sc1,2,100,LCA,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,none
sc1,2,100,GLM,4,4,6,0.92989898989899,0.921818181818182,0.839526942593018,0.794177378883597,0.753451375961931,0.798254053255674,none
sc1,2,100,BMEM,4,4,6,0.937171717171717,0.92989898989899,0.864495557139749,0.815733513961299,0.757452023091844,0.828214697124406,none
sc1,2,100,LCA,4,5,4,0.99030303030303,0.99030303030303,0.973835786081563,0.973835786081563,0.968762718067819,0.968762718067819,none
sc1,2,100,GLM,4,5,6,0.92989898989899,0.970505050505051,0.860693541169107,0.920505561310815,0.761096213594736,0.917012041780362,none
sc1,2,100,BMEM,4,5,6,0.942222222222222,0.970505050505051,0.904317606606094,0.920061694187699,0.757826755417376,0.917102050343246,none
sc1,2,200,LCA,4,1,4,0.984472361809045,0.984472361809045,0.958656704275522,0.958656704275522,0.945240134221599,0.945240134221599,none
sc1,2,200,GLM,4,1,6,0.931608040201005,0.965477386934673,0.877170127288895,0.90789648846141,0.751211953917828,0.900197148604058,none
sc1,2,200,BMEM,4,1,6,0.938793969849246,0.966331658291457,0.893785915255752,0.910073096078557,0.753291470098631,0.895385432583866,none
sc1,2,200,LCA,4,2,4,0.995376884422111,0.995376884422111,0.987638495539818,0.987638495539818,0.982478308046063,0.982478308046063,none
sc1,2,200,GLM,4,2,6,0.957788944723618,0.960804020100502,0.968262199187229,0.894912405000902,0.815517417660881,0.878850156227823,none
