"Subject","trial_type","own.cod","true_class","true_FB","true_LR","lca.class","lca.tc","fb_tend","lr_tend","glm.class","glm.tc","bbm.class","bbm.tc"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","FB",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",0,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"1","LR",1,"19",0.178,0.719,"4","4",0.1875,0.75,"1","1","1","1"
"2","FB",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","FB",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",0,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"2","LR",1,"9",0.752,0.722,"1","3",0.5,0.75,"4","4","3","3"
"3","FB",0,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
"3","FB",1,"7",0.794,0.237,"3","2",0.9375,0.1875,"2","2","2","2"
