"B1","B2","F1","F2","L1","L2","R1","R2","true_class","true_FB","true_LR","ego.tend","FB.tend","LR.tend"
1,1,1,1,1,0,0,1,"2",1,0.189177908360007,1.148647238545,1,0.5
1,0,1,0,1,1,1,1,"10",0.737195041801933,0.950779820410931,2.21099685777661,0.5,1
0,0,0,0,1,1,0,0,"22",0,0.345575097473301,3.04319688718416,0,0.5
1,1,1,1,1,1,1,1,"10",0.800481681518994,0.934786909321541,2.46690857385507,1,1
0,0,0,0,1,0,1,0,"22",0.00254485625995213,0.263764565863746,3.03328867776546,0,0.5
0,0,1,0,0,1,0,1,"22",0.0491521539744783,0.36809767614516,3.17715622876495,0.25,0.5
0,0,0,0,1,0,0,0,"22",0.0299317892967185,0.234830301178256,2.90809526130937,0,0.25
1,1,1,1,1,0,0,0,"2",1,0.345590988511501,1.04319887356394,1,0.25
1,1,1,1,0,0,0,0,"2",1,0.253692971315749,0.906711621414469,1,0
0,0,0,0,0,0,0,0,"22",0,0.260468606165336,2.78255857577067,0,0
1,1,1,1,0,0,1,0,"2",0.986112822978538,0.327853016856523,1.03924572997938,1,0.25
0,0,0,0,0,0,1,0,"22",0,0.16329925126978,2.89541240640872,0,0.25
0,0,1,0,0,1,1,1,"22",0.107000260937302,0.301313734925963,3.30103924948291,0.25,0.75
1,1,1,1,0,1,0,0,"2",1,0.278601397165009,1.03482517464563,1,0.25
0,0,0,0,0,0,0,1,"22",0.0143225026992527,0.291477911610595,2.91322505178873,0,0.25
0,0,0,0,0,0,0,0,"22",0,0.177016814759654,2.77212710184496,0,0
1,1,1,1,1,0,1,0,"2",0.988559377965664,0.281065673309367,1.15870313140938,1,0.5
0,0,0,0,0,0,0,0,"22",0,0.227682212958453,2.77846027661981,0,0
0,0,0,0,0,1,0,0,"22",0.0107638086033339,0.183479983240743,2.89928047398051,0,0.25
0,0,1,0,1,1,1,1,"10",0.814350557291832,1,2.10179381966148,0.25,1
0,0,0,0,0,0,1,0,"22",0.0464822305520045,0.154297053088054,2.90009741045501,0,0.25
1,1,1,0,1,1,1,1,"10",0.780794218494199,0.99910682010047,2.34748762982433,0.75,1
1,1,1,1,0,0,0,0,"2",1,0.181318305857773,0.897664788232222,1,0
1,1,1,1,1,0,0,0,"2",1,0.236414534760183,1.02955181684502,1,0.25
0,1,1,1,1,1,0,0,"10",0.767023354372493,0.944875736442154,2.08898738635183,0.75,0.5
1,1,1,1,0,1,0,1,"2",0.976161024632948,0.213283157237347,1.14868052273379,1,0.5
0,0,0,0,1,0,1,1,"22",0.0629590024619544,0.258293222273137,3.16515652809189,0,0.75
1,1,1,1,1,1,1,1,"10",0.710168344390444,1,2.46377104304881,1,1
1,1,1,1,0,0,0,0,"2",1,0.381330208019492,0.922666276002437,1,0
0,0,0,0,0,1,0,0,"22",0.065282224205863,0.232384353729084,2.91220832224187,0,0.25
0,0,0,0,1,0,0,0,"22",0.0168815257768807,0.232932710189014,2.90622677949574,0,0.25
0,0,0,0,1,0,0,0,"22",0.0131898673135359,0.299555032456623,2.91409311247127,0,0.25
0,0,0,0,0,0,0,0,"22",0,0.359529142965878,2.79494114287073,0,0
0,1,0,0,1,0,0,0,"22",0.0403527906360285,0.195929616743933,3.0295353009225,0.25,0.25
0,1,1,1,1,1,1,1,"10",0.832111239502942,1,2.35401390493787,0.75,1
0,1,0,1,1,1,1,1,"10",0.717654726050413,1,2.2147068407563,0.5,1
1,1,1,1,1,1,1,1,"10",0.759403475241565,1,2.4699254344052,1,1
0,0,0,0,0,0,0,0,"22",0,0.24903592119379,2.78112949014922,0,0
0,0,0,0,0,0,0,0,"22",0.00633347941424149,0.285176910227167,2.78643879870518,0,0
1,1,1,1,0,1,1,1,"2",1,0.31721942943445,1.28965242867931,1,0.75
0,0,0,0,0,0,0,0,"22",0,0.212212824912742,2.77652660311409,0,0
1,1,1,1,1,1,1,1,"10",0.782660566005282,1,2.47283257075066,1,1
1,1,1,1,0,0,0,1,"2",0.955439186911371,0.311113245651717,1.03331905407039,1,0.25
1,0,1,1,1,1,1,1,"10",0.726366416305387,0.989095607668754,2.33943275299677,0.75,1
0,0,0,0,0,1,0,0,"22",0.00309640892052859,0.278518728423023,2.91020189216794,0,0.25
1,0,1,1,1,1,1,1,"10",0.773558452367481,1,2.34669480654594,0.75,1
0,0,0,0,0,0,0,0,"22",0.011861426562481,0.346712677979313,2.79482176306772,0,0
1,1,1,1,0,0,0,0,"2",1,0.296342481764151,0.912042810220519,1,0
1,1,1,1,0,0,1,1,"2",1,0.323346039978639,1.16541825499733,1,0.5
1,1,1,1,0,1,0,1,"2",1,0.24098151846279,1.15512268980785,1,0.5
0,0,0,0,1,1,1,1,"10",0.791147486364935,0.885351952802977,1.95956242989599,0,1
0,1,1,1,1,1,1,1,"10",0.702434908342088,1,2.33780436354276,0.75,1
1,1,0,1,1,1,1,1,"10",0.826633573711666,1,2.35332919671396,0.75,1
1,1,1,1,1,1,1,1,"10",0.776948770097227,1,2.47211859626215,1,1
1,1,1,1,1,0,0,0,"2",0.980077930391528,0.279232975380757,1.03241386322154,1,0.25
1,1,1,1,0,0,0,1,"2",0.969957254325928,0.265877201618462,1.02947930699305,1,0.25
1,1,1,1,1,1,1,1,"10",0.7088220178864,1,2.4636027522358,1,1
1,1,1,1,0,0,0,0,"2",0.95315952731445,0.266694490453103,0.902481752220944,1,0
1,0,0,0,1,1,1,1,"10",0.717831763443563,0.98128293981019,2.08738933790672,0.25,1
1,1,1,1,0,1,0,0,"2",0.926007671937812,0.25111035746983,1.02213975367596,1,0.25
0,0,0,0,0,0,0,0,"22",0,0.298795069003348,2.78734938362542,0,0
1,1,1,1,0,0,0,0,"2",1,0.240276789467047,0.905034598683381,1,0
1,1,1,1,1,1,1,1,"10",0.665344424525341,0.981964523715935,2.45591361853016,1,1
0,0,0,0,0,0,0,0,"22",0.0691630727467607,0.272442002690989,2.79270063442972,0,0
1,1,1,1,1,1,1,1,"10",0.817469528775018,1,2.47718369109688,1,1
1,0,0,1,1,1,1,1,"10",0.658438296533253,1,2.20730478706666,0.5,1
1,1,0,1,1,0,1,1,"2",0.965859830245772,0.328962369391957,1.16185277495472,0.75,0.75
1,1,0,1,1,1,1,1,"10",0.827302034265778,0.945490301703476,2.34659904199616,0.75,1
0,0,0,0,0,1,0,0,"22",0,0.180248601755298,2.89753107521941,0,0.25
0,0,0,0,0,0,0,0,"22",0,0.143890049076735,2.76798625613459,0,0
0,0,0,0,0,0,0,0,"22",0,0.228348957744412,2.77854361971805,0,0
1,1,1,1,1,1,1,1,"10",0.839429145144533,0.989395941259081,2.47860313580045,1,1
1,0,1,1,1,1,1,1,"10",0.794456429394298,0.989381612963204,2.34797975529469,0.75,1
1,1,1,1,1,1,1,1,"10",0.643303300791593,1,2.45541291259895,1,1
1,1,1,1,1,0,0,1,"2",0.923749748767789,0.350157407406645,1.1592383945218,1,0.5
1,0,0,0,0,0,0,0,"22",0.0218543488532249,0.25285099172197,2.9093381675719,0.25,0
1,1,1,1,1,1,1,1,"10",0.764364239607284,1,2.47054552995091,1,1
1,1,1,1,0,1,0,0,"2",1,0.271585716994601,1.03394821462433,1,0.25
0,0,0,0,0,0,1,0,"22",0,0.247587279640965,2.90594840995512,0,0.25
0,0,1,1,1,0,1,1,"10",0.811015929811285,0.944877696675737,2.09448670331088,0.5,0.75
1,1,1,1,0,0,0,0,"2",0.96989906246679,0.259797865748671,0.903712116026933,1,0
