"B1","B2","F1","F2","L1","L2","R1","R2","true_class","true_FB","true_LR","ego.tend","FB.tend","LR.tend"
1,1,1,1,1,1,1,1,"5",0.983077567926886,0.974237023988217,1.86966432398939,1,1
0,0,0,0,1,0,1,1,"23",0.0423400557363512,0.515027291828543,3.31967091844561,0,0.75
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
1,0,1,1,1,1,1,0,"9",0.784552601867769,0.75420986168563,2.06734530794418,0.75,0.75
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
0,1,0,1,0,0,0,0,"6",0.740024361731301,0,1.09250304521641,0.5,0
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,0,1,0,0,"23",0,0.454708803306299,3.05683860041329,0,0.25
0,1,1,0,1,0,1,0,"9",0.65970004824153,0.760060418650004,1.80247005836144,0.5,0.5
1,1,1,1,0,0,0,0,"2",0.972472711176732,0.19326642452775,0.89571739196306,1,0
1,1,1,1,1,1,1,1,"5",1,0.998157248134128,1.87476965601677,1,1
0,0,0,0,1,1,1,0,"23",0.0205457150453702,0.591076082647388,3.32645272471159,0,0.75
1,1,1,1,0,0,0,0,"2",1,0.266383442327334,0.908297930290917,1,0
1,1,1,1,0,0,0,0,"6",0.758713630190679,0.0232842276187681,1.34774973222618,1,0
0,0,0,0,0,1,1,1,"23",0,0.437874011767214,3.3047342514709,0,0.75
0,0,0,0,0,0,0,0,"21",0.130510002085572,0,2.6413137502607,0,0
1,1,1,0,0,1,0,1,"9",0.816822446376632,0.759445345553362,1.94703347399125,0.75,0.5
1,1,1,1,0,0,0,0,"6",0.759643607250831,0.0665324881004944,1.35327201191892,1,0
1,1,1,1,1,1,0,1,"5",0.984704921737197,0.925765378479326,1.73880878752707,1,0.75
0,0,0,0,1,1,1,0,"23",0.0488991674388043,0.503478613917847,3.31904722266958,0,0.75
1,1,1,1,1,1,0,1,"5",0.998307833866703,0.970649891040871,1.74611971561345,1,0.75
1,1,1,0,1,1,1,1,"9",0.753056466578528,0.837080579896049,2.19876713080932,0.75,1
0,0,0,0,0,0,0,0,"6",0.647967207926426,0.0114998660716361,0.832433384249758,0,0
0,0,0,0,1,1,1,1,"25",0.0342865002249862,1,3.75428581252812,0,1
0,0,0,0,1,0,0,1,"23",0.0377272692785698,0.521731296960447,3.19493232077988,0,0.5
1,1,1,0,1,1,1,1,"5",0.943428623537166,0.944152857643277,1.73594768514756,0.75,1
0,0,0,0,1,1,1,1,"23",0,0.453322040837286,3.43166525510466,0,1
0,0,0,1,1,1,1,1,"9",0.713137470724329,0.826992674164243,1.94251626811107,0.25,1
1,1,1,1,0,0,1,0,"2",1,0.291460736370309,1.03643259204629,1,0.25
0,0,0,0,1,0,0,0,"21",0.0722674694614304,0.0592455835013874,2.76643913162035,0,0.25
0,1,1,1,1,0,1,1,"9",0.782824250916496,0.755734189724369,2.06731980508011,0.75,0.75
1,0,1,1,0,0,0,0,"6",0.819624427702621,0,1.22745305346283,0.75,0
1,1,0,0,0,1,1,0,"9",0.754354006116856,0.708353183123818,1.80783839865508,0.5,0.5
1,1,1,1,1,1,1,1,"5",1,0.9668174882261,1.87085218602826,1,1
0,0,0,0,0,1,0,0,"21",0,0.0632444032972828,2.75790555041216,0,0.25
1,1,1,1,1,1,1,1,"5",0.961042183457099,1,1.87013027293214,1,1
1,1,1,1,0,1,0,1,"9",0.794612016862978,0.702472355064058,2.06213554649088,1,0.5
0,0,0,0,1,0,1,1,"23",0,0.489719012095579,3.31121487651195,0,0.75
1,1,1,1,1,1,1,1,"5",0.955275538486793,1,1.86940944231085,1,1
1,1,1,1,1,0,1,0,"9",0.715548879655472,0.896022937260615,2.07644647711451,1,0.5
1,1,1,1,0,0,0,0,"2",1,0.231002208387984,0.903875276048498,1,0
1,1,0,0,1,0,1,1,"9",0.712025763564734,0.873681661073502,1.94821342807978,0.5,0.75
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
1,1,0,1,1,1,1,1,"9",0.834462516137168,0.772500089006107,2.20087032564291,0.75,1
0,0,0,0,0,0,0,1,"23",0.0456514872752748,0.473333773678301,3.0648731576192,0,0.25
1,1,1,1,0,0,0,0,"6",0.769148153296939,0.0556695746515157,1.35310221599356,1,0
1,1,0,0,0,0,0,0,"6",0.853461822035946,0.00943954480206556,1.10786267085475,0.5,0
0,0,0,0,1,1,1,0,"23",0,0.650543947518932,3.33131799343987,0,0.75
1,1,1,1,1,1,1,1,"5",1,0.995458414794801,1.87443230184935,1,1
0,1,0,0,1,0,0,1,"23",0.0728769865567063,0.491196539811906,3.32050919079608,0.25,0.5
0,0,1,0,0,0,1,1,"9",0.771469380194553,0.737751138630732,1.68865256485316,0.25,0.5
0,0,0,0,0,0,0,0,"21",0.0284910067293966,0.0231461380059065,2.63145464309191,0,0
0,0,0,0,1,1,1,1,"25",0,0.921436532458774,3.74017956655735,0,1
0,0,0,0,1,1,1,1,"25",0,0.973204305271308,3.74665053815891,0,1
0,0,0,0,1,1,1,1,"25",0,0.99107902507417,3.74888487813427,0,1
1,1,1,1,1,0,0,0,"2",0.991586863360215,0.282095728010979,1.0342103239214,1,0.25
1,1,1,0,0,0,0,0,"6",0.70331493185378,0.111361084309828,1.22683450202045,0.75,0
1,1,1,1,0,0,0,0,"6",0.723245620194754,0.0577453876802049,1.34762387598437,1,0
1,1,1,1,0,1,0,1,"2",1,0.264857854969721,1.15810723187122,1,0.5
0,0,0,0,0,1,1,1,"25",0.0474204183093499,0.899106273215293,3.61831583644058,0,0.75
0,0,0,0,0,1,1,0,"23",0,0.460811607803351,3.18260145097542,0,0.5
1,1,1,1,1,0,0,0,"2",0.992203475488024,0.370968651640419,1.04539651589106,1,0.25
1,1,1,0,1,0,1,0,"9",0.730185367268476,0.706462333761586,1.92958096262876,0.75,0.5
0,0,0,0,1,1,0,1,"23",0,0.517760871541923,3.31472010894274,0,0.75
1,1,1,1,1,0,0,0,"2",0.977550366288147,0.269202539610847,1.03084411323737,1,0.25
0,0,0,0,1,0,0,1,"23",0.0531879097224853,0.525512350600588,3.19733753254038,0,0.5
0,0,0,0,0,0,1,0,"23",0,0.535781483037359,3.06697268537967,0,0.25
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
1,1,1,1,0,0,0,0,"6",0.797673364197477,0.00373952993785615,1.35017661176692,1,0
1,1,1,0,0,0,0,0,"6",0.78260769463955,0.0664303284538618,1.23112975288668,0.75,0
0,1,0,0,1,1,0,1,"9",0.73840822964493,0.720015404767716,1.80730295430158,0.25,0.75
1,1,1,1,0,1,1,1,"9",0.708735101258904,0.829784248506971,2.19231491872073,1,0.75
0,0,0,0,1,0,0,0,"21",0.0521373034859107,0.107913809880647,2.77000638917082,0,0.25
1,1,1,1,1,1,1,1,"5",0.929057094474402,0.913173562988825,1.8552788321829,1,1
0,0,1,0,1,0,1,0,"23",0.0525450509912223,0.451355155576158,3.31298752582092,0.25,0.5
1,0,1,0,0,0,0,0,"6",0.725830200781075,0.00164059968782897,1.09093385005861,0.5,0
0,0,0,0,0,1,0,0,"21",0,0.0207874792813291,2.75259843491017,0,0.25
1,1,1,0,0,0,0,0,"6",0.743243312581491,0,1.21790541407269,0.75,0
0,0,0,0,0,0,0,1,"21",0,0.123670633422716,2.76545882917784,0,0.25
1,1,0,1,0,1,1,0,"9",0.744921206208407,0.802783365650658,1.94346307148238,0.75,0.5
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
1,1,1,1,1,1,1,1,"5",0.971266868164812,1,1.8714083585206,1,1
0,0,0,0,0,0,0,0,"23",0,0.41968945770888,2.92746118221361,0,0
1,1,1,1,1,1,1,1,"5",0.985828115546532,0.908569086587562,1.86179965026676,1,1
1,1,1,1,1,1,1,1,"5",0.916093046855587,1,1.86451163085695,1,1
1,1,1,1,0,0,0,0,"6",0.749744714058849,0,1.34371808925736,1,0
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
0,0,0,0,0,1,0,1,"23",0,0.492875191932849,3.18660939899161,0,0.5
1,1,1,1,1,1,1,1,"5",1,0.986714034679927,1.87333925433499,1,1
0,0,0,0,0,0,0,0,"21",0.00533457979477136,0.0117913338890386,2.62714073921048,0,0
1,1,1,1,1,1,1,1,"5",0.984899751587956,1,1.87311246894849,1,1
0,0,0,0,0,0,0,0,"21",0.0335018264773377,0,2.62918772830967,0,0
0,0,0,0,1,1,1,1,"25",0.0107031098916603,1,3.75133788873646,0,1
1,0,1,1,1,1,1,0,"9",0.838302909773565,0.730589030327448,2.07111149251263,0.75,0.75
0,0,0,0,1,0,0,1,"23",0,0.526900072163435,3.19086250902043,0,0.5
0,0,0,0,1,1,1,1,"25",0,0.978910924976063,3.74736386562201,0,1
1,1,1,0,1,1,1,1,"9",0.738628841385215,0.744381577142319,2.18537630231594,0.75,1
1,1,1,1,0,0,1,0,"2",1,0.215186331791251,1.02689829147391,1,0.25
0,0,0,0,0,1,0,1,"23",0,0.50033145596626,3.18754143199578,0,0.5
0,1,1,1,0,0,0,0,"6",0.734467806824956,0,1.21680847585312,0.75,0
0,0,1,0,1,1,1,1,"9",0.754755739804528,0.758750844234662,1.9391883230049,0.25,1
0,0,0,0,0,0,0,0,"21",0.0403693987583252,0,2.63004617484479,0,0
1,1,0,1,0,0,0,0,"6",0.90151228960956,0.00154927738979282,1.23788269587492,0.75,0
0,0,0,0,0,0,0,1,"23",0.0231410954949265,0.380220372145086,3.050420183455,0,0.25
1,1,0,1,0,0,0,0,"6",0.728039328615447,0,1.21600491607693,0.75,0
0,0,1,0,0,0,1,0,"6",0.70686263873402,0.0359584794771877,1.0928526397764,0.25,0.25
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
0,0,0,0,0,0,0,0,"23",0,0.490590198190934,2.93632377477387,0,0
1,0,1,1,0,0,0,1,"2",0.936005578603195,0.230770948196585,0.895847065849973,0.75,0.25
1,1,1,1,0,0,0,0,"2",1,0.220865939644653,0.902608242455582,1,0
1,0,1,1,0,1,1,0,"9",0.737211016508847,0.767217755625247,1.93805359651676,0.75,0.5
1,1,0,1,0,0,0,0,"6",0.664870051215961,0.00974101738011801,1.20932638357451,0.75,0
0,0,0,0,0,0,1,0,"23",0,0.466892652502444,3.05836158156281,0,0.25
0,0,0,0,1,1,1,1,"25",0.00656734404081619,0.991857892938606,3.74980315462243,0,1
0,0,0,0,1,1,0,0,"23",0.0261184132055099,0.585985876345505,3.20151303619388,0,0.5
1,1,1,0,1,1,1,0,"9",0.674703497235639,0.714803345623232,2.04868835535736,0.75,0.75
1,0,0,1,0,0,0,0,"6",0.787650181368278,0,1.09845627267103,0.5,0
0,0,0,0,1,1,1,1,"25",0,0.98323223132983,3.74790402891623,0,1
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
1,1,1,1,1,0,0,0,"2",1,0.356079343145877,1.04450991789323,1,0.25
1,1,1,1,1,1,1,1,"5",1,0.979857137030883,1.87248214212886,1,1
1,1,1,1,1,1,1,1,"5",1,0.980432381582292,1.87255404769779,1,1
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
0,0,1,0,0,1,1,1,"9",0.70131095800976,0.653889294015967,1.79440003150322,0.25,0.75
0,0,0,0,0,0,0,0,"21",0.0386314932688874,0,2.62982893665861,0,0
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,0,1,0,0,"23",0,0.408684649468192,3.05108558118352,0,0.25
1,1,1,1,1,1,1,1,"9",0.781069608133312,0.69035266925264,2.30892778467324,1,1
0,0,0,0,0,1,1,1,"23",0,0.456957915645171,3.30711973945565,0,0.75
0,0,0,0,0,1,1,1,"25",0,0.969595311525265,3.62119941394066,0,0.75
1,1,1,1,0,1,0,1,"2",1,0.246224995589845,1.15577812444873,1,0.5
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
1,1,1,1,0,0,0,1,"2",0.966270601905253,0.250244595982849,1.02706439973601,1,0.25
0,0,0,0,0,0,1,0,"21",0,0.0719279460964857,2.75899099326206,0,0.25
1,1,0,1,0,1,1,1,"9",0.763353019456448,0.791304905429815,2.06933224061078,0.75,0.75
0,0,0,0,0,1,0,0,"23",0.0292158916977992,0.486643399676583,3.0644824114218,0,0.25
0,0,0,0,0,1,0,0,"23",0,0.485275957728268,3.06065949471603,0,0.25
1,1,0,0,0,0,0,0,"6",0.710405431499075,0,1.08880067893738,0.5,0
1,1,1,1,1,1,1,0,"5",1,0.970312307459596,1.74628903843245,1,0.75
0,0,0,0,0,1,1,1,"23",0,0.419967029224701,3.30249587865309,0,0.75
0,0,0,0,1,1,1,1,"25",0.02108489264865,1,3.75263561158108,0,1
0,1,0,1,1,1,1,1,"9",0.723369567506742,0.700488324792684,2.05298223653743,0.5,1
1,1,0,1,0,0,0,0,"2",0.955712170630352,0.265113279651663,0.777603181285252,0.75,0
0,0,0,0,1,1,1,1,"23",0,0.524034594634882,3.44050432432936,0,1
0,0,0,0,0,0,0,0,"23",0.0381486175611904,0.516774890109681,2.94436543845886,0,0
0,0,0,0,1,1,1,1,"25",0.138816647381137,0.972665027458999,3.76393520935502,0,1
1,1,1,1,0,0,0,1,"2",0.902359031964059,0.30092573669226,1.02541059608204,1,0.25
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,1,1,1,1,"25",0,0.964491765573701,3.74556147069671,0,1
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
1,1,1,1,0,0,0,0,"6",0.718315631509281,0,1.33978945393866,1,0
1,1,0,0,1,1,1,1,"9",0.714723156899191,0.771804888571465,2.06081600568383,0.5,1
1,1,1,1,1,1,1,1,"5",1,0.934312102793118,1.86678901284914,1,1
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
1,1,1,0,0,0,0,0,"6",0.747784329037055,0,1.21847304112963,0.75,0
1,1,1,1,1,1,1,1,"9",0.751767803272221,0.805799737285233,2.31969594256968,1,1
1,1,1,1,0,0,0,0,"6",0.84818696116777,0.059687566676259,1.3634843159805,1,0
1,1,1,1,0,1,0,0,"2",0.913179925472025,0.244030205976756,1.0196512664311,1,0.25
1,1,1,1,1,0,1,1,"9",0.690007407720623,0.774570665165469,2.18307225911076,1,0.75
0,0,0,0,0,0,0,0,"23",0.00372833970628798,0.506486658613793,2.93877687479001,0,0
1,1,1,1,0,1,0,0,"2",0.963846109049998,0.269816697817976,1.0292078508585,1,0.25
0,0,0,0,1,1,1,1,"25",0,0.947871214635396,3.74348390182942,0,1
1,1,0,0,0,0,0,0,"6",0.846295131109326,0,1.10578689138867,0.5,0
0,0,0,0,0,1,0,1,"23",0.0155564640156119,0.535918149644787,3.19393432670755,0,0.5
0,0,0,0,0,0,0,0,"21",0,0.0261674382866134,2.62827092978583,0,0
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
1,1,1,1,0,0,0,0,"6",0.662851979940801,0,1.3328564974926,1,0
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
0,0,0,0,1,1,0,0,"23",0.0221362160836227,0.532308387337544,3.19430557542765,0,0.5
0,0,0,0,0,0,0,0,"21",0.0249168722825095,0,2.62811460903531,0,0
0,0,0,0,1,1,1,1,"25",0.0351046273555855,1,3.75438807841945,0,1
1,1,0,1,0,0,0,0,"6",0.829178793131819,0,1.22864734914148,0.75,0
0,1,0,1,0,0,0,0,"2",0.962506394914191,0.262930416054804,0.653179601371124,0.5,0
0,0,0,0,1,1,1,1,"25",0,0.940992981553195,3.74262412269415,0,1
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
0,0,0,0,1,1,0,0,"23",0.0384490065248365,0.477477149772363,3.18949076953715,0,0.5
0,0,0,0,0,0,0,0,"21",0.0165611144810787,0,2.62707013931013,0,0
1,1,1,1,1,1,1,1,"9",0.756177914645323,0.728096192252541,2.31053426336223,1,1
0,0,0,0,1,1,1,1,"25",0,0.961997906954278,3.74524973836928,0,1
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,1,1,0,1,"25",0.0161260030234467,0.940898138947059,3.61962801774631,0,0.75
1,0,1,1,1,1,0,1,"9",0.695768666318515,0.665585438533546,2.04516926310651,0.75,0.75
1,1,1,1,1,0,1,0,"9",0.807438212525232,0.752993838437745,2.07005400637037,1,0.5
1,1,1,1,0,0,0,0,"2",1,0.219876114189905,0.902484514273738,1,0
0,0,0,0,1,1,1,1,"25",0.00284362626131233,1,3.75035545328266,0,1
1,0,1,1,1,0,0,1,"9",0.825563407248105,0.810921900154656,1.95456066342535,0.75,0.5
1,1,1,0,0,0,0,0,"6",0.715207901986121,0,1.21440098774827,0.75,0
0,0,0,1,0,0,1,0,"21",0.0447051224428554,0.0465018400612432,2.88640087031301,0.25,0.25
1,1,1,0,0,0,0,0,"6",0.760883581561494,0,1.22011044769519,0.75,0
1,1,1,1,0,0,0,0,"6",0.672217620645559,0.0136435510937708,1.33573264646742,1,0
0,0,0,0,1,1,1,1,"25",0,0.962907712226778,3.74536346402835,0,1
0,0,0,0,0,0,0,0,"21",0.0517909646160013,0.0220906367178583,2.63423520016673,0,0
1,0,1,0,0,0,0,0,"6",0.746792867468023,0,1.0933491084335,0.5,0
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
0,0,0,0,0,0,0,0,"21",0.0537189034254507,0,2.63171486292818,0,0
1,1,1,1,1,1,0,0,"2",1,0.260891318881035,1.15761141486013,1,0.5
0,0,0,0,1,1,1,1,"23",0,0.548047608859102,3.44350595110739,0,1
1,1,1,1,0,1,1,1,"5",1,0.961548369627351,1.74519354620342,1,0.75
