"B1","B2","F1","F2","L1","L2","R1","R2","true_class","true_FB","true_LR","ego.tend","FB.tend","LR.tend"
0,0,0,0,1,1,1,1,"15",0.470603933761976,1,2.55882549172025,0,1
1,1,1,0,0,0,0,0,"11",0.473980341419371,0.0164607963860233,1.81130514222567,0.75,0
1,1,1,1,1,1,1,0,"3",0.938919616462063,0.441584199105687,1.42256297694597,1,0.75
1,0,1,0,1,1,1,1,"15",0.555099765860498,1,2.81938747073256,0.5,1
1,1,0,0,0,0,0,0,"11",0.54148114806389,0.0119718721048388,1.69418162752109,0.5,0
0,0,0,1,0,0,0,0,"11",0.493565006412565,0.131697980049965,1.57815787330782,0.25,0
0,0,0,0,0,1,0,0,"23",0,0.498767200185137,3.06234590002314,0,0.25
0,1,1,1,1,1,1,1,"15",0.486586791257079,1,2.93582334890713,0.75,1
1,1,0,1,1,1,1,1,"15",0.502215190090005,1,2.93777689876125,0.75,1
1,1,1,1,1,0,0,0,"3",1,0.456527487199992,1.1820659359,1,0.25
1,1,1,1,1,0,1,1,"3",0.999619408363922,0.525976695924864,1.4406995130361,1,0.75
0,1,0,1,1,1,1,1,"15",0.48388277877453,1,2.81048534734682,0.5,1
0,0,0,0,1,0,0,0,"23",0.0258811326595239,0.546069539016205,3.07149383395947,0,0.25
0,0,0,1,1,1,1,1,"15",0.454506469693315,0.9750217051739,2.6786910218584,0.25,1
0,1,1,1,1,1,1,1,"15",0.561263781502666,0.96368751734832,2.94061891235637,0.75,1
0,0,0,0,0,0,1,1,"23",0,0.545649727874442,3.19320621598431,0,0.5
0,0,0,1,1,1,1,1,"15",0.501204428962616,1,2.68765055362033,0.25,1
0,0,1,1,0,0,0,0,"11",0.536039687837518,0,1.69200496097969,0.5,0
0,0,0,0,0,1,0,1,"23",0.0351701117344919,0.450823789637199,3.18574923767146,0,0.5
1,0,0,0,1,1,1,1,"15",0.460461047429059,0.97634413412263,2.67960064769396,0.25,1
0,0,0,1,0,0,0,0,"11",0.522876618771889,0.0369534968290686,1.56997876445012,0.25,0
1,1,1,1,1,1,1,0,"3",0.940912458509458,0.495892370229656,1.42960060359239,1,0.75
1,1,0,0,1,1,1,1,"15",0.466951119022,0.954763183549646,2.80271428782146,0.5,1
