"B1","B2","F1","F2","L1","L2","R1","R2","true_class","true_FB","true_LR","ego.tend","FB.tend","LR.tend"
0,0,0,0,0,0,0,0,"21",0,0.0585076494813696,2.63231345618517,0,0
0,0,0,0,1,1,1,1,"25",0.0539009365069011,1,3.75673761706336,0,1
1,1,1,1,1,1,1,1,"5",0.998562628141185,1,1.87482032851765,1,1
0,0,0,0,0,1,0,1,"22",0,0.331312270843546,3.04141403385544,0,0.5
1,1,1,1,1,1,1,1,"5",0.952516278540915,0.968725982699551,1.86515528265506,1,1
0,0,0,0,0,0,0,0,"21",0.0406404360160765,0,2.63008005450201,0,0
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
0,0,0,0,1,1,1,1,"25",0.0145924538955398,1,3.75182405673694,0,1
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
0,0,0,0,0,0,1,0,"21",0,0.00164142131298456,2.75020517766412,0,0.25
0,0,0,0,1,0,1,1,"25",0.0517110693080968,0.980383956227717,3.62901187819198,0,0.75
1,1,1,1,1,1,1,1,"5",0.869634900304487,1,1.85870436253806,1,1
1,1,1,1,1,1,1,1,"5",0.921464991217467,1,1.86518312390218,1,1
1,1,1,1,1,1,1,1,"5",1,0.968018858048056,1.87100235725601,1,1
0,0,0,0,0,0,0,0,"21",0,0.0465276618374117,2.63081595772968,0,0
0,0,0,0,0,1,0,0,"21",0.0614777789137354,0.0388114108913684,2.76253614872564,0,0.25
1,1,1,1,1,1,1,1,"5",0.912463220348143,1,1.86405790254352,1,1
0,0,0,0,0,0,0,0,"21",0,0.00771717624673023,2.62596464703084,0,0
0,0,0,0,0,0,0,0,"22",0,0.280453949827535,2.78505674372844,0,0
0,0,0,0,1,1,1,1,"25",0.026597818437705,1,3.75332472730471,0,1
0,0,0,0,0,0,0,0,"21",0,0,2.625,0,0
0,0,0,1,0,0,0,0,"21",0.0352322458454405,0.046926941017492,2.76026989835787,0.25,0
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
0,0,0,0,0,0,0,0,"22",0.016524926300808,0.221496374560597,2.77975266260768,0,0
0,0,0,0,1,1,1,1,"25",0.0162733922998245,1,3.75203417403748,0,1
0,0,0,0,0,0,0,0,"21",0.019009000794436,0,2.6273761250993,0,0
0,0,0,0,1,1,1,1,"25",0.0213973941030774,1,3.75267467426288,0,1
1,1,1,1,1,1,1,1,"5",0.984045191105245,0.945450538439201,1.86618696619306,1,1
1,1,0,1,1,0,0,1,"7",0.771923585257526,0.263917266915532,1.62948010652163,0.75,0.5
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
0,0,0,0,0,0,0,0,"21",0.131791228146639,0.045876473989064,2.64720846276696,0,0
1,1,1,1,1,1,1,1,"5",1,1,1.875,1,1
0,0,0,0,0,0,0,0,"21",0.0399326135750511,0,2.62999157669688,0,0
0,0,0,0,0,1,1,1,"25",0.0475579125270259,0.856407683187585,3.61299569946433,0,0.75
0,0,0,0,0,0,0,0,"21",0.0858227166024814,0.0563916720462528,2.64277679858109,0,0
1,1,1,1,1,0,1,1,"5",0.957737994093987,0.967088444640612,1.74060330484182,1,0.75
0,0,1,0,0,0,0,0,"21",0.0189189822884524,0.0110414389023121,2.75374505264885,0.25,0
0,0,0,0,1,1,1,1,"25",0.0633534580076513,0.959501347303965,3.75285685066395,0,1
