"B1","B2","F1","F2","L1","L2","R1","R2","true_class","true_FB","true_LR","ego.tend","FB.tend","LR.tend"
0,1,0,0,1,1,1,1,"25",0.0578595751925258,0.914669919510378,3.87156618683786,0.25,1
1,0,1,0,1,1,1,1,"10",0.794813300270978,1,2.22435166253387,0.5,1
0,0,0,0,1,1,1,1,"25",0.0582215777360598,0.97594077167048,3.75427029367582,0,1
0,0,0,0,1,1,0,1,"25",0.030508907249874,0.938166989333665,3.62108448707294,0,0.75
1,1,0,0,0,0,1,1,"18",0.215032256870657,0.475874639297615,2.83636336202103,0.5,0.5
0,1,0,0,1,1,0,0,"18",0.246328884801915,0.501312086836544,2.71845512145481,0.25,0.5
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,0,0,0,0,"16",0.275714277273896,0.0245956281391677,2.03753873817663,0,0
1,1,0,1,0,0,1,0,"18",0.234866527441068,0.517639114463596,2.84406320523808,0.75,0.25
1,1,1,1,1,1,1,1,"10",0.75820248102207,0.998312027739689,2.46956431359522,1,1
0,1,0,0,0,1,0,1,"18",0.296977311674,0.505381496981595,2.72529485108195,0.25,0.5
0,0,0,1,1,1,0,1,"18",0.148784150181162,0.408640006074855,2.819678019532,0.25,0.75
0,0,0,0,0,0,0,0,"16",0.237620837922324,0,2.02970260474029,0,0
0,0,0,0,1,1,1,0,"18",0.241565139079215,0.44224090106485,2.71047575501801,0,0.75
1,1,1,1,0,0,0,0,"2",1,0.215239913626595,0.901904989203324,1,0
0,0,0,0,1,1,1,1,"25",0.0773566733518533,1,3.75966958416898,0,1
1,1,1,1,0,0,0,1,"2",0.946716310548349,0.152608809765345,1.01241564003921,1,0.25
0,0,0,0,1,0,1,0,"16",0.234208696292927,0.0800805170723099,2.28928615167065,0,0.5
1,1,1,1,0,1,0,0,"2",0.92440495465499,0.1980432690024,1.01530602795717,1,0.25
1,1,1,1,0,0,0,0,"16",0.200066455185566,0.092910435490425,2.5366221113345,1,0
0,0,0,0,1,1,1,1,"25",0.0230239923425313,1,3.75287799904282,0,1
1,1,1,1,1,1,0,1,"10",0.697014848205157,0.917258164236251,2.32678412655518,1,0.75
1,1,1,1,0,0,0,1,"2",1,0.322415804091856,1.04030197551148,1,0.25
1,0,0,0,0,0,0,0,"18",0.188233635947231,0.507669524133537,2.4619878950101,0.25,0
0,0,0,0,1,1,1,1,"25",0.0047851493358546,0.926055369173396,3.74135506481366,0,1
1,1,1,1,1,0,0,0,"2",1,0.245948423338956,1.03074355291737,1,0.25
0,1,0,1,0,0,0,0,"18",0.221786869491623,0.551039367537637,2.59660327962866,0.5,0
0,0,0,0,0,1,0,0,"16",0.313545342949678,0.0151981411459307,2.16609293551195,0,0.25
1,1,1,1,0,1,1,1,"2",0.982523430673457,0.328579707036671,1.28888789221377,1,0.75
1,0,0,0,1,1,1,0,"18",0.242755038609082,0.477990974911763,2.84009325169011,0.25,0.75
1,1,1,1,0,0,0,1,"2",0.933172839420379,0.357777696183347,1.03636881695047,1,0.25
1,1,1,1,1,1,0,0,"2",1,0.277405354413521,1.15967566930169,1,0.5
0,0,0,1,0,0,0,0,"16",0.266655405607594,0.0218960787050057,2.16106893553907,0.25,0
0,0,0,0,1,1,1,1,"25",0,0.9614739112631,3.74518423890789,0,1
1,0,0,0,1,0,1,1,"18",0.130572432475741,0.489559192054033,2.82751645306622,0.25,0.75
1,1,1,1,0,0,1,0,"2",0.997974047897841,0.253763340685231,1.03146717357288,1,0.25
0,0,0,0,0,0,0,0,"16",0.192538409915447,0.00523932032908644,2.02472221628057,0,0
0,0,0,0,1,0,0,0,"18",0.190535153656941,0.441955958974332,2.45406138907891,0,0.25
1,1,1,1,1,1,1,1,"10",0.824277027459861,1,2.47803462843248,1,1
1,1,0,1,0,0,0,1,"18",0.293689695512856,0.57364373554207,2.85841667888187,0.75,0.25
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,1,1,1,1,"25",0.0318035512448365,1,3.7539754439056,0,1
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,0,1,0,0,"18",0.204900842046534,0.525476846062151,2.46629721101359,0,0.25
0,0,0,0,1,1,1,1,"25",0,0.990470643458066,3.74880883043226,0,1
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,1,0,0,0,1,0,0,"18",0.240867302414299,0.501126079409187,2.59274917272794,0.25,0.25
0,0,0,1,0,1,1,0,"18",0.243025819718374,0.536804297616471,2.72247876466686,0.25,0.5
0,0,0,0,0,0,0,0,"16",0.225224319528428,0,2.02815303994105,0,0
0,0,0,0,0,0,0,0,"16",0.211925817830832,0.0426761919125398,2.03182525121792,0,0
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,1,1,1,1,"25",0,0.994646898584047,3.74933086232301,0,1
1,0,0,0,0,0,0,0,"16",0.290779152687304,0.0441800285009972,2.16686989764854,0.25,0
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,1,0,0,1,1,0,"18",0.335833041687321,0.394090392268828,2.71624042924452,0.25,0.5
0,0,0,0,0,0,0,0,"16",0.242106999725925,0.0195708271001719,2.03270972835326,0,0
1,1,1,1,1,1,0,0,"2",1,0.229346002948257,1.15366825036853,1,0.5
0,0,0,0,0,0,0,1,"18",0.192831452971361,0.44601766100153,2.45485613924661,0,0.25
0,1,0,0,0,0,0,0,"16",0.202003777447855,0,2.15025047218098,0.25,0
1,1,0,1,1,0,0,0,"2",0.985396336989018,0.191763573143194,0.897144988766526,0.75,0.25
1,1,1,1,0,0,0,0,"2",0.964789115871191,0.287425918247387,0.906526879264822,1,0
0,1,0,1,0,0,1,1,"18",0.281312121144446,0.573800887773599,2.85688912611476,0.5,0.5
1,1,1,1,0,0,0,1,"2",0.981420144115323,0.164582399226802,1.01825031791777,1,0.25
1,1,0,0,0,1,1,0,"18",0.224078788487687,0.499994903437211,2.84050921149061,0.5,0.5
1,1,1,1,0,0,0,1,"2",1,0.258293178928042,1.03228664736601,1,0.25
1,1,1,1,0,0,1,0,"2",1,0.270851271741912,1.03385640896774,1,0.25
1,1,0,1,1,0,1,1,"10",0.810516604072922,0.979808104725067,2.22379058859975,0.75,0.75
1,1,1,1,0,0,1,1,"2",0.997737015122022,0.277479706645884,1.15940209022099,1,0.5
1,0,1,1,1,1,1,1,"10",0.816619950095129,0.930766787809545,2.34342334223808,0.75,1
0,0,0,0,1,1,1,1,"25",0.0232857104408091,0.990086945280591,3.75167158196518,0,1
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
1,1,1,1,0,0,0,0,"2",1,0.243128950865447,0.905391118858181,1,0
1,1,1,1,0,0,0,0,"2",1,0.257837873367941,0.907229734170993,1,0
1,0,0,0,0,0,0,0,"16",0.179236078531185,0.020102580852308,2.14991733242294,0.25,0
0,0,1,1,1,0,0,1,"18",0.25089783498763,0.530744928323017,2.84770534541383,0.5,0.5
0,1,1,1,0,1,0,0,"18",0.207428597927148,0.442407822330311,2.83122955253218,0.75,0.25
0,0,1,0,0,0,0,0,"16",0.27519415430122,0,2.15939926928765,0.25,0
1,1,1,1,1,0,0,0,"2",0.981510698423729,0.22406524822033,1.02569699333051,1,0.25
0,0,0,0,0,1,0,0,"18",0.253252277852561,0.48427340581439,2.46719071045837,0,0.25
0,1,1,0,1,0,1,1,"18",0.327448110755025,0.500019778899012,2.97843348620675,0.5,0.75
0,0,1,0,0,1,1,0,"18",0.255090942416865,0.558780528270738,2.72673393383595,0.25,0.5
0,0,0,0,1,1,1,1,"25",0.00811098727228036,0.971578057622114,3.7474611306118,0,1
0,0,0,0,1,1,1,1,"25",0.0308024204820947,0.932075892035695,3.74535978906472,0,1
0,0,0,0,1,1,1,1,"25",0.0314760322264585,0.904589155563137,3.7420081484737,0,1
0,0,0,1,1,0,1,0,"18",0.170538701453829,0.541512471922362,2.71400639667202,0.25,0.5
0,0,0,1,1,1,1,1,"25",0.0184591780743853,1,3.8773073972593,0.25,1
1,0,1,0,1,1,1,1,"10",0.687751431445149,1,2.21096892893064,0.5,1
1,1,0,1,1,0,1,1,"18",0.251332127770109,0.502218489960999,3.09419382721639,0.75,0.75
0,0,0,0,0,0,0,0,"16",0.274603429145439,0.0243339938260575,2.03736717787144,0,0
1,0,0,0,0,1,1,0,"18",0.315934921850267,0.514969377002131,2.72886303735655,0.25,0.5
1,1,0,1,0,1,1,1,"10",0.837053138406793,0.939746703524966,2.22209998024147,0.75,0.75
0,1,0,0,0,1,1,1,"18",0.244116879781892,0.561059264555507,2.85064701804217,0.25,0.75
1,0,0,0,1,1,1,1,"10",0.666160927456023,0.986537476502111,2.08158730049477,0.25,1
0,0,0,0,0,0,0,0,"18",0.265611941383193,0.469707445034412,2.3419149233022,0,0
0,0,0,0,1,1,0,1,"25",0,0.895062968765546,3.61188287109569,0,0.75
0,1,0,0,1,1,1,1,"25",0.12572250343846,0.982239052789365,3.88849519452848,0.25,1
1,0,0,0,0,1,0,0,"16",0.323113437515402,0.0658660492055768,2.29862243584012,0.25,0.25
0,0,0,0,1,1,0,1,"25",0,0.911221136660505,3.61390264208256,0,0.75
1,0,0,0,0,0,0,0,"16",0.154403516150038,0,2.14430043951875,0.25,0
0,1,1,1,1,1,1,1,"10",0.801795632845892,0.991878882354814,2.34920931440009,0.75,1
0,0,0,0,0,0,0,0,"16",0.300405207282506,0,2.03755065091031,0,0
0,0,0,0,0,0,0,0,"16",0.255995106104274,0.0447331337149729,2.03759102997741,0,0
0,0,0,0,1,0,0,0,"16",0.211600327199849,0.0590912398985431,2.1588364458873,0,0.25
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,1,0,1,0,"18",0.24106473876729,0.456156656731049,2.58715267443729,0,0.5
1,1,1,0,0,1,1,0,"10",0.687191456549959,0.958973100520851,2.08077056963385,0.75,0.5
0,0,1,0,0,0,0,0,"16",0.262172798048379,0.0415474867917786,2.16296503560502,0.25,0
1,0,0,0,1,0,1,0,"18",0.223217890942574,0.413245465564165,2.70455791956334,0.25,0.5
0,0,0,0,0,0,0,0,"16",0.274272676030613,0,2.03428408450383,0,0
1,1,1,1,0,0,0,1,"2",1,0.262757119157404,1.03284463989468,1,0.25
0,0,0,0,1,1,1,0,"25",0,0.99232062612479,3.6240400782656,0,0.75
0,0,0,1,1,0,0,1,"18",0.217783838268023,0.542803010846535,2.72007335613932,0.25,0.5
0,0,0,0,1,0,0,0,"18",0.305331707264985,0.472372428500909,2.47221301697074,0,0.25
0,0,0,0,0,0,0,0,"16",0.251284475957375,0.0934192732998697,2.04308796865716,0,0
0,0,0,0,1,1,1,1,"25",0.0285569991135091,1,3.75356962488919,0,1
1,1,0,1,1,1,1,1,"10",0.797693138664407,0.957293447708648,2.34437332329663,0.75,1
0,0,0,0,1,1,1,1,"18",0.307466713223493,0.534966085879959,2.85530409988793,0,1
1,1,1,1,1,1,1,0,"2",0.988939149955267,0.292341094211803,1.28516003052088,1,0.75
1,1,1,1,1,0,0,0,"2",0.917632844135607,0.299642030162622,1.02715935928728,1,0.25
0,0,0,0,0,0,1,0,"18",0.201448034643906,0.426138128025482,2.45344827033367,0,0.25
0,0,0,0,1,1,1,1,"25",0,1,3.75,0,1
0,0,0,0,1,1,0,1,"25",0,0.909386073881543,3.61367325923519,0,0.75
0,0,0,1,0,0,0,0,"16",0.185641671651205,0,2.1482052089564,0.25,0
0,0,0,0,1,1,1,1,"25",0.0287784411053035,0.988885787603678,3.75220802858862,0,1
