"","workerID","opt_score_total","opt_n","opt_score"
"1","5RXRA10",540,12,45
"2","WKC0A11",540,12,45
"3","3Q7CA11",1425,12,118.75
"4","D6DCA12",1185,12,98.75
"5","CAQQA12",1065,11,96.8181818181818
"6","UFDFA13",1170,12,97.5
"7","EKO0A14",585,12,48.75
"8","J0RVA15",1320,12,110
"9","I0XUA16",735,12,61.25
"10","NQL8A16",1170,12,97.5
"11","0E3JA19",1155,12,96.25
"12","AX1ZA19",1395,12,116.25
"13","L1ESA19",225,12,18.75
"14","LEEXA19",915,12,76.25
"15","QCESA1C",285,12,23.75
"16","NU4LA1D",990,12,82.5
"17","75MRA1E",420,12,35
"18","9DTAA1F",795,12,66.25
"19","37T1A1H",135,11,12.2727272727273
"20","G60KA1I",135,12,11.25
"21","UHO4A1K",1365,12,113.75
"22","DOH9A1L",390,12,32.5
"23","HTDQA1O",1245,12,103.75
"24","HQRMA1P",450,12,37.5
"25","X2B8A1P",105,11,9.54545454545454
"26","AU0MA1Q",420,12,35
"27","BSY0A1Q",840,12,70
"28","0A4HA1R",360,12,30
"29","346BA1T",975,12,81.25
"30","CMXVA1T",75,12,6.25
"31","87H6A1T",1140,12,95
"32","K8Q0A1T",900,12,75
"33","874ZA1T",975,12,81.25
"34","1R9GA1U",690,12,57.5
"35","YUY3A1U",195,12,16.25
"36","X0HZA1V",1065,12,88.75
"37","ATWYA1V",1290,12,107.5
"38","WDODA1V",420,12,35
"39","HIRQA1W",1200,12,100
"40","3ASGA1W",930,12,77.5
"41","JJY6A1X",1035,12,86.25
"42","E5KZA1Y",240,12,20
"43","PV00A1Y",1035,12,86.25
"44","XZ0KA1Y",960,12,80
"45","3UWWA1Z",495,12,41.25
"46","0Q8BA1Z",45,12,3.75
"47","O959A1Z",555,12,46.25
"48","ULFSA21",480,12,40
"49","SSRYA21",1245,12,103.75
"50","UANFA22",360,12,30
"51","LT94A24",120,12,10
"52","VE4VA25",1170,12,97.5
"53","2MOXA26",1395,12,116.25
"54","9YX6A26",1215,12,101.25
"55","AXGGA26",990,10,99
"56","FYLBA27",885,12,73.75
"57","1H0UA27",225,12,18.75
"58","WMMKA28",1200,12,100
"59","6SN4A29",735,12,61.25
"60","D0XWA29",720,12,60
"61","BZQ3A2A",1050,12,87.5
"62","71SYA2A",75,12,6.25
"63","KF43A2A",330,12,27.5
"64","FIP0A2A",360,12,30
"65","ZE89A2A",150,11,13.6363636363636
"66","4O0KA2A",270,12,22.5
"67","32NOA2B",420,12,35
"68","8AC7A2B",1380,12,115
"69","4TIWA2C",345,12,28.75
"70","44HUA2C",360,12,30
"71","XZRNA2F",1110,12,92.5
"72","7VH4A2F",1170,12,97.5
"73","HIE0A2F",1410,12,117.5
"74","LOV1A2G",195,12,16.25
"75","371YA2H",180,12,15
"76","GEM7A2I",645,12,53.75
"77","3IRMA2I",1170,12,97.5
"78","QTMFA2I",1065,12,88.75
"79","M5UNA2J",270,12,22.5
"80","M0OZA2J",900,11,81.8181818181818
"81","EDP6A2L",360,12,30
"82","SRG9A2M",270,12,22.5
"83","QJA0A2M",165,12,13.75
"84","MYGFA2N",345,12,28.75
"85","5ZEFA2O",225,12,18.75
"86","KG6YA2O",210,12,17.5
"87","LP5IA2O",1290,12,107.5
"88","JYUOA2O",225,12,18.75
"89","AHFYA2O",1335,12,111.25
"90","IWFPA2P",630,12,52.5
"91","TQJMA2P",1140,12,95
"92","HHVVA2Q",75,12,6.25
"93","TY00A2R",525,12,43.75
"94","9THBA2R",1200,11,109.090909090909
"95","EHDVA2R",1080,12,90
"96","L4VZA2S",330,12,27.5
"97","WIJYA2T",60,12,5
"98","47LCA2T",360,12,30
"99","GY81A2T",60,12,5
"100","6LX9A2U",615,12,51.25
"101","5R3HA2U",1020,12,85
"102","VWMZA2W",60,12,5
"103","MBLKA2W",540,12,45
"104","ZNYBA2X",795,12,66.25
"105","8663A2Y",510,12,42.5
"106","5AMCA2Z",465,12,38.75
"107","D89AA30",1110,12,92.5
"108","UOZOA32",210,12,17.5
"109","3HDFA32",1080,12,90
"110","QZTSA32",240,12,20
"111","B81SA32",675,12,56.25
"112","8FJKA34",315,12,26.25
"113","X5VKA34",495,12,41.25
"114","5DRXA35",1200,12,100
"115","4LVZA35",375,12,31.25
"116","1IT2A37",150,12,12.5
"117","A295A38",255,11,23.1818181818182
"118","CY3MA39",1260,12,105
"119","3P4RA39",1155,12,96.25
"120","C0PDA3A",1155,12,96.25
"121","58UUA3B",930,12,77.5
"122","38G9A3C",285,12,23.75
"123","L67NA3C",540,12,45
"124","FYFYA3D",315,12,26.25
"125","N4G1A3E",660,12,55
"126","5WKVA3E",1320,12,110
"127","8YJAA3F",585,12,48.75
"128","BSGMA3G",75,12,6.25
"129","5JKHA3J",795,12,66.25
"130","1ZD7A3L",1140,12,95
"131","5TXUA3N",1080,12,90
"132","JS4HA3O",1275,12,106.25
"133","A4C6A3P",1185,12,98.75
"134","SNWXA3R",105,12,8.75
"135","QPW3A3S",510,10,51
"136","TCR3A3U",1215,12,101.25
"137","DO9CA3U",945,12,78.75
"138","7R0NA55",615,11,55.9090909090909
"139","ZV7BA5N",90,12,7.5
"140","I8UEA5W",255,12,21.25
"141","F4KDA6J",105,12,8.75
"142","NNZDA75",1260,12,105
"143","BXT9A96",1095,12,91.25
"144","I9RSA98",735,12,61.25
"145","Y1AHACG",255,12,21.25
"146","FOHEACO",1215,12,101.25
"147","ZUGXACS",1305,12,108.75
"148","RD6EAD3",765,12,63.75
"149","IIQFAD7",525,12,43.75
"150","BK77ADX",720,12,60
"151","SBLBAET",225,12,18.75
"152","ZQWYAF2",195,12,16.25
"153","6N02AFC",690,12,57.5
"154","H4CAAFR",1380,12,115
"155","9Y9YAHY",855,12,71.25
"156","YX3NAHZ",1470,12,122.5
"157","YKMNAIG",1410,12,117.5
"158","01HZAJQ",1290,12,107.5
"159","ZLHFALE",180,12,15
"160","ZS8ZALT",1395,12,116.25
"161","O3FWAMI",1095,12,91.25
"162","WDCRAMX",1230,12,102.5
"163","BQRZANF",90,12,7.5
"164","JKNOANY",480,12,40
"165","UXSDANZ",180,12,15
"166","GD81AOA",105,12,8.75
"167","ZU0BAQ5",555,12,46.25
"168","846OAQY",540,12,45
"169","MC86AR1",60,12,5
"170","C0E6AS6",330,12,27.5
"171","4M3PASC",765,10,76.5
"172","BQDEATU",1050,12,87.5
"173","1PYQAUZ",300,10,30
"174","PTCIAVP",165,11,15
"175","YCZBAVY",1050,12,87.5
"176","60FCAW5",150,12,12.5
"177","MGHCAX8",1065,12,88.75
"178","YWP8AXP",1170,12,97.5
"179","PUT1AYW",660,12,55
"180","G7R5AZZ",465,12,38.75
