"","scenario","obs_per_trial","n_subj","method","class_true","run","class_pred","RI","RIc","NMI","NMIc","warnings"
"1","sc1",2,100,"LCA",4,1,4,0.990187734668335,0.990187734668335,0.968504067015819,0.968504067015819,"none"
"2","sc1",2,100,"GLM",4,1,6,0.952340425531915,0.980775969962453,0.812451434587392,0.939049211990637,"none"
"3","sc1",2,100,"BMEM",4,1,6,0.919499374217772,0.980775969962453,0.711842211563875,0.939049211990637,"none"
"4","sc1",2,100,"LCA",4,2,4,0.990588235294118,0.990588235294118,0.969662263399604,0.969662263399604,"none"
"5","sc1",2,100,"GLM",4,2,6,0.933717146433041,0.918498122653317,0.748246020465462,0.795243620091241,"none"
"6","sc1",2,100,"BMEM",4,2,6,0.94252816020025,0.990588235294118,0.772769844816753,0.969662263399604,"2 Warnings: There were 1 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
"7","sc1",2,100,"LCA",4,3,4,1,1,1,1,"none"
"8","sc1",2,100,"GLM",4,3,5,0.975769712140175,0.971364205256571,0.896417027293297,0.918513576305613,"none"
"9","sc1",2,100,"BMEM",4,3,5,0.970162703379224,0.990588235294118,0.866423863089107,0.969687567061217,"2 Warnings: There were 2 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
"10","sc1",2,100,"LCA",4,4,4,1,1,1,1,"none"
"11","sc1",2,100,"GLM",4,4,6,0.932315394242804,0.922503128911139,0.768750355785105,0.798254053255674,"none"
"12","sc1",2,100,"BMEM",4,4,6,0.937722152690864,0.930513141426784,0.757452023091844,0.828214697124406,"2 Warnings: There were 1 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
"13","sc1",2,100,"LCA",4,5,4,0.990387984981226,0.990387984981226,0.968762718067819,0.968762718067819,"none"
"14","sc1",2,100,"GLM",4,5,6,0.942728410513141,0.970763454317897,0.757826755417376,0.917012041780361,"none"
"15","sc1",2,100,"BMEM",4,5,6,0.924705882352941,0.970763454317897,0.71584671831892,0.917102050343246,"none"
"16","sc1",2,200,"LCA",4,1,4,0.984540337711069,0.984540337711069,0.945240134221599,0.945240134221599,"none"
"17","sc1",2,200,"GLM",4,1,6,0.945165728580363,0.96562851782364,0.778783634441647,0.900197148604058,"none"
"18","sc1",2,200,"BMEM",4,1,6,0.93906191369606,0.970581613508443,0.75329147009863,0.912566239301301,"none"
"19","sc1",2,200,"LCA",4,2,4,0.995397123202001,1,0.982478308046062,1,"none"
"20","sc1",2,200,"GLM",4,2,6,0.945716072545341,0.960975609756098,0.790789250329525,0.878850156227823,"none"
"21","sc1",2,200,"BMEM",4,2,6,0.961626016260163,0.990744215134459,0.815986995317851,0.964804141258356,"2 Warnings: There were 14 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
"22","sc1",2,200,"LCA",4,3,4,0.994896810506567,0.994896810506567,0.982027972757293,0.982027972757293,"none"
"23","sc1",2,200,"GLM",4,3,6,0.954921826141338,0.952220137585991,0.803861112662815,0.862994615811339,"none"
"24","sc1",2,200,"BMEM",4,3,6,0.961826141338336,0.980187617260788,0.825613122023198,0.948538781575204,"none"
"25","sc1",2,200,"LCA",4,4,4,0.994696685428393,0.994696685428393,0.98192338257259,0.98192338257259,"none"
"26","sc1",2,200,"GLM",4,4,6,0.956272670419012,0.956772983114446,0.799323721337968,0.866859684238467,"none"
"27","sc1",2,200,"BMEM",4,4,6,0.965378361475922,0.980387742338962,0.825713248869583,0.938354822313982,"2 Warnings: There were 6 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
"28","sc1",2,200,"LCA",4,5,4,0.994696685428393,0.994696685428393,0.981651560433106,0.981651560433106,"none"
"29","sc1",2,200,"GLM",4,5,6,0.946116322701689,0.945365853658537,0.776687351484881,0.863411789718069,"none"
"30","sc1",2,200,"BMEM",4,5,6,0.946116322701689,0.990093808630394,0.776687351484881,0.964129167812097,"none"
"31","sc1",2,400,"LCA",4,1,4,0.989796811503595,0.989796811503595,0.961321099604307,0.961321099604307,"none"
"32","sc1",2,400,"GLM",4,1,6,0.941456705220381,0.930553297905595,0.766001119847792,0.803333473049123,"2 Warnings: Model failed to converge with max|grad| = 0.279251 (tol = 0.002, component 1). Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower). Next warning: Model is nearly unidentifiable: very large eigenvalue
 - Rescale variables?. Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower)"
"33","sc1",2,400,"BMEM",4,1,6,0.927389809315411,0.965264145045327,0.72817709960112,0.899322901297824,"none"
"34","sc1",2,400,"LCA",4,2,4,0.997499218505783,0.997499218505783,0.989785563141747,0.989785563141747,"none"
"35","sc1",2,400,"GLM",4,2,6,0.931853704282588,0.940306345733042,0.737949719427122,0.835280809762282,"none"
"36","sc1",2,400,"BMEM",4,2,5,0.930115661144107,0.992372616442638,0.741473816003042,0.971830594575749,"2 Warnings: There were 4 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
"37","sc1",2,400,"LCA",4,3,4,0.980318849640513,0.980318849640513,0.930381643083939,0.930381643083939,"none"
"38","sc1",2,400,"GLM",4,3,6,0.935517349171616,0.922838386995936,0.752360187335676,0.791396050202836,"none"
"39","sc1",2,400,"BMEM",4,3,6,0.937255392310097,0.990534542044389,0.74016145477372,0.965746082499818,"none"
"40","sc1",2,400,"LCA",4,4,4,0.994985933104095,0.994985933104095,0.979605184782139,0.979605184782139,"none"
"41","sc1",2,400,"GLM",4,4,6,0.934254454517037,0.929052829009065,0.749428419899513,0.80349384128527,"none"
"42","sc1",2,400,"BMEM",4,4,6,0.940881525476711,0.99757424195061,0.751720999331005,0.989888141329102,"none"
"43","sc1",2,400,"LCA",4,5,4,0.986770865895592,0.986770865895592,0.954348426790793,0.954348426790793,"none"
"44","sc1",2,400,"GLM",4,5,6,0.946470772116286,0.930378243201,0.777456940820933,0.804408992694303,"none"
"45","sc1",2,400,"BMEM",4,5,6,0.939656142544545,0.978118161925602,0.752693779067978,0.919536758071284,"none"
"46","sc1",4,100,"LCA",4,1,4,1,1,1,1,"none"
"47","sc1",4,100,"GLM",4,1,6,0.916547842401501,0.934959349593496,0.71956973089284,0.849138853922327,"none"
"48","sc1",4,100,"BMEM",4,1,6,0.917348342714196,0.952770481550969,0.70556381149647,0.886148759656869,"none"
"49","sc1",4,100,"LCA",4,2,4,1,1,1,1,"none"
"50","sc1",4,100,"GLM",4,2,6,0.941163227016886,0.952770481550969,0.775407904639307,0.881552163730012,"none"
"51","sc1",4,100,"BMEM",4,2,6,0.92895559724828,1,0.724716339741257,1,"2 Warnings: There were 6 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
"52","sc1",4,100,"LCA",4,3,4,1,1,1,1,"none"
"53","sc1",4,100,"GLM",4,3,6,0.929956222639149,0.894534083802377,0.764773217888988,0.761707905743477,"none"
"54","sc1",4,100,"BMEM",4,3,6,0.915947467166979,0.981588492808005,0.711874280445915,0.948512723029648,"none"
"55","sc1",4,100,"LCA",4,4,4,1,1,1,1,"none"
"56","sc1",4,100,"GLM",4,4,6,0.905741088180113,0.89213258286429,0.721955251752517,0.728649304422641,"none"
"57","sc1",4,100,"BMEM",4,4,6,0.913946216385241,0.99219512195122,0.676229261971938,0.970309486687311,"none"
"58","sc1",4,100,"LCA",4,5,4,1,1,1,1,"none"
"59","sc1",4,100,"GLM",4,5,6,0.917148217636023,0.952770481550969,0.722441283383552,0.880052980446426,"1 Warnings: Model failed to converge with max|grad| = 0.0616388 (tol = 0.002, component 1). Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower)"
"60","sc1",4,100,"BMEM",4,5,6,0.91234521575985,0.961175734834271,0.685358272237036,0.886566946605776,"none"
"61","sc1",4,200,"LCA",4,1,4,1,1,1,1,"none"
"62","sc1",4,200,"GLM",4,1,6,0.902669584245077,0.886164426383245,0.68110016285015,0.716293911213869,"2 Warnings: Model failed to converge with max|grad| = 0.232025 (tol = 0.002, component 1). Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower). Next warning: Model is nearly unidentifiable: very large eigenvalue
 - Rescale variables?. Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower)"
"63","sc1",4,200,"BMEM",4,1,6,0.935829946858393,0.995098468271335,0.751822942776233,0.981827138174731,"none"
"64","sc1",4,200,"LCA",4,2,4,1,1,1,1,"none"
"65","sc1",4,200,"GLM",4,2,6,0.924176305095342,0.913472960300094,0.737246657207189,0.815616592699108,"none"
"66","sc1",4,200,"BMEM",4,2,6,0.914023132228821,0.986195686151922,0.696395451583693,0.95207530839091,"2 Warnings: There were 1 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
"67","sc1",4,200,"LCA",4,3,4,1,1,1,1,"none"
"68","sc1",4,200,"GLM",4,3,6,0.943732416380119,0.948183807439825,0.777461884457476,0.872286652592989,"none"
"69","sc1",4,200,"BMEM",4,3,6,0.90847139731166,0.994998437011566,0.679167105248619,0.982030647576257,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"70","sc1",4,200,"LCA",4,4,4,1,1,1,1,"none"
"71","sc1",4,200,"GLM",4,4,6,0.929327914973429,0.91562363238512,0.732522752620461,0.772852147844428,"none"
"72","sc1",4,200,"BMEM",4,4,6,0.912572678962176,0.995248515160988,0.686152466945566,0.982070797963415,"none"
"73","sc1",4,200,"LCA",4,5,4,1,1,1,1,"none"
"74","sc1",4,200,"GLM",4,5,5,0.902269459206002,0.869659268521413,0.714409273882584,0.68459277199226,"none"
"75","sc1",4,200,"BMEM",4,5,6,0.905070334479525,0.97314160675211,0.670381464640813,0.917032898546406,"none"
"76","sc1",4,400,"LCA",4,1,4,1,1,1,1,"none"
"77","sc1",4,400,"GLM",4,1,6,0.889557743397406,0.861928426316612,0.65018144656931,0.669775990723835,"none"
"78","sc1",4,400,"BMEM",4,1,5,0.91943741209564,0.995024222534771,0.735225109578197,0.979157482754652,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"79","sc1",4,400,"LCA",4,2,4,1,1,1,1,"none"
"80","sc1",4,400,"GLM",4,2,5,0.876193155180497,0.883356774496015,0.633139343350615,0.708511419994081,"none"
"81","sc1",4,400,"BMEM",4,2,5,0.92393811533052,0.995249257696515,0.744479060755649,0.982139484876913,"none"
"82","sc1",4,400,"LCA",4,3,4,0.997612126894827,0.997612126894827,0.98990126767782,0.98990126767782,"none"
"83","sc1",4,400,"GLM",4,3,6,0.911961243944366,0.889895296140022,0.701701837820723,0.730552738212407,"none"
"84","sc1",4,400,"BMEM",4,3,6,0.930251601812783,1,0.748595290189167,1,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"85","sc1",4,400,"LCA",4,4,4,1,1,1,1,"none"
"86","sc1",4,400,"GLM",4,4,6,0.954317862165963,0.945666510392249,0.831966556493597,0.866257506829482,"none"
"87","sc1",4,400,"BMEM",4,4,6,0.932076887013596,1,0.744667450517314,1,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"88","sc1",4,400,"LCA",4,5,4,1,1,1,1,"none"
"89","sc1",4,400,"GLM",4,5,6,0.930114080325051,0.93624003750586,0.751664024308019,0.852710638013544,"none"
"90","sc1",4,400,"BMEM",4,5,5,0.933864666354118,1,0.764590377702919,1,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"91","sc1",8,100,"LCA",4,1,4,1,1,1,1,"none"
"92","sc1",8,100,"GLM",4,1,6,0.945582994685839,1,0.821544621170009,1,"2 Warnings: Model failed to converge with max|grad| = 0.236277 (tol = 0.002, component 1). Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower). Next warning: Model is nearly unidentifiable: very large eigenvalue
 - Rescale variables?. Next warning: checkConv(attr(opt, ""derivs""), opt$par, ctrl = control$checkConv, lbound = environment(devfun)$lower)"
"93","sc1",8,100,"BMEM",4,1,6,0.890365739293529,1,0.682935385487522,1,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"94","sc1",8,100,"LCA",4,2,4,1,1,1,1,"none"
"95","sc1",8,100,"GLM",4,2,6,0.954185683025946,1,0.837143182890837,1,"none"
"96","sc1",8,100,"BMEM",4,2,5,0.890165676773992,1,0.689867083140585,1,"none"
"97","sc1",8,100,"LCA",4,3,4,1,1,1,1,"none"
"98","sc1",8,100,"GLM",4,3,6,0.914973429196624,0.962788371366052,0.74869131155557,0.902238807129065,"none"
"99","sc1",8,100,"BMEM",4,3,6,0.914373241638012,0.990597061581744,0.722974288194066,0.969687567061217,"none"
"100","sc1",8,100,"LCA",4,4,4,1,1,1,1,"none"
"101","sc1",8,100,"GLM",4,4,6,0.902169427946233,0.887764926539544,0.729131221052486,0.747445924985751,"none"
"102","sc1",8,100,"BMEM",4,4,6,0.908771491090966,1,0.711751637951771,1,"none"
"103","sc1",8,100,"LCA",4,5,4,1,1,1,1,"none"
"104","sc1",8,100,"GLM",4,5,6,0.920775242263207,0.971190997186621,0.765741009024981,0.93108491851,"none"
"105","sc1",8,100,"BMEM",4,5,6,0.917374179431072,0.971190997186621,0.727198038538873,0.93108491851,"2 Warnings: There were 19 divergent transitions after warmup. See
https://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup
to find out why this is a problem and how to eliminate them.. Next warning: Examine the pairs() plot to diagnose sampling problems
"
"106","sc1",8,200,"LCA",4,1,4,1,1,1,1,"none"
"107","sc1",8,200,"GLM",4,1,6,0.946241600250039,1,0.824217554964491,1,"none"
"108","sc1",8,200,"BMEM",4,1,5,0.931939365525863,1,0.789860085196649,1,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"109","sc1",8,200,"LCA",4,2,4,1,1,1,1,"none"
"110","sc1",8,200,"GLM",4,2,6,0.94459134239725,1,0.818653450442171,1,"none"
"111","sc1",8,200,"BMEM",4,2,6,0.89818409126426,1,0.692442085218197,1,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"112","sc1",8,200,"LCA",4,3,4,1,1,1,1,"none"
"113","sc1",8,200,"GLM",4,3,6,0.925188310673543,0.89538365369589,0.768416436151339,0.749726347771996,"none"
"114","sc1",8,200,"BMEM",4,3,6,0.900084388185654,1,0.669773051173226,1,"none"
"115","sc1",8,200,"LCA",4,4,4,1,1,1,1,"none"
"116","sc1",8,200,"GLM",4,4,6,0.907235505547742,1,0.710863129294103,1,"none"
"117","sc1",8,200,"BMEM",4,4,5,0.886532270667292,1,0.685582333997343,1,"1 Warnings: Bulk Effective Samples Size (ESS) is too low, indicating posterior means and medians may be unreliable.
Running the chains for more iterations may help. See
https://mc-stan.org/misc/warnings.html#bulk-ess"
"118","sc1",8,200,"LCA",4,5,4,1,1,1,1,"none"
