,perspective,targetObj,targetPos,respObjPos,utteranceOffsetTime,respDropTime,respTime,gender,age,acc,total,accuracy.prop,own.cod,other.cod,meanRespTime,sdRespTime,upper,byPptMeanRespTime,logRespTime,responderType,aq_score_subset,opt_score_total,opt_n,opt_score,congruent,incongruent,stroop_difference,aq_score_subset_centred,aq_score_subset_centred_scaled,opt_score_centred,opt_score_centred_scaled,stroop_difference_centred,stroop_difference_centred_scaled,perspective_cod
0,same,stapler,R,R,1638978066119,1639380957839,857,male,37,44,44,0.9980725185301065,0,0,1633.6553159560667,1462.9003618099027,6022.348589073021,1904.0094660736495,6.895852894924298,othercentric,29,238,12,45.126445821845124,991.0589831627533,1029.0895654290614,359.3906480055434,-0.7563587632678405,0.11657325034335,-19.53112379603492,0.725352737205888,-90.91053581536,0.5890663557956904,0.4939129671146375
1,same,stapler,L,R,1639366717269,1639027995961,3609,female,40,42,44,0.9953777237706192,1,1,1633.6558512152485,1462.8995277812967,6022.349450714601,1572.4435275600358,7.159325891554061,mixed,58,486,12,71.4130433547486,781.1200711198211,1091.3568426996242,155.74123936644693,-24.089411571344595,0.23671100916276744,-31.58944995369423,-0.42368519558098355,13.032284513239471,-0.16100370102373476,-0.5340537272135678
2,different,key,L,B,1639452847064,1638950019148,551,male,46,44,44,0.7840486036136973,1,0,1633.6551539828188,1462.9008691069491,6022.35099902624,1542.5410303055965,6.200861366264611,mixed,55,1137,12,95.06567709035673,870.0664728495028,774.8987324717829,60.326959273093074,6.808046038638309,-0.07565723440045553,-55.86852928863526,0.05999337328075585,-144.5342145456038,-0.3096912166152871,-0.5162263420228319
3,different,stapler,B,B,1638780186885,1639462498311,786,male,33,44,44,1.0022389033832237,1,0,1633.6551006701932,1462.901052943071,6022.3508019295505,1417.374962143669,7.198497061828492,mixed,44,85,12,128.15409625566522,663.9637307243333,958.836609924942,93.67206624215329,-10.290460877533226,0.14393271316357145,9.849598583920091,-0.31329249270245696,-61.06372037826998,0.8508044001056759,-0.504928241454355
4,same,key,L,L,1639136257735,1639147904900,4566,male,26,44,44,0.9983300219361293,1,0,1633.6553402128293,1462.9009575026503,6022.3492061942015,1473.0626162115182,8.295416787960225,othercentric,53,1484,10,48.44875164860746,741.8028456067932,884.2221065986935,112.07096602202675,1.8123654199517034,-0.1759455848336518,22.0461396729445,-0.19371233503487367,-68.53888506451483,2.674828221061578,-0.5504275963382571
5,different,frog,F,R,1638864459887,1639499054423,1507,male,46,44,44,0.9993430732481945,1,1,1633.6543553142808,1462.90042304459,6022.350029617648,1366.9809752632445,7.031142873081242,mixed,48,238,12,43.451766855397274,776.2196335081837,913.9449749430041,312.1656251289833,-27.013374828138723,0.2524675681901768,22.2386386396571,0.7119903038934956,-82.01271617806383,1.3817458249609609,-0.5515299342828336
6,same,coconut,F,L,1638981607814,1638509055753,1428,female,37,44,44,1.001010564005361,1,0,1633.6553596939711,1462.8991486105203,6022.350026995455,1435.1153777226777,6.8173984488588735,othercentric,35,363,12,107.60416651395617,779.1333117529059,1265.3601520504824,140.40879436233823,-14.00011205335861,0.08196480545096496,30.418672028088388,0.6918310715302508,-91.64111429836456,2.24739534339137,-0.554235903647952
7,same,mushroom,B,B,1639397818608,1638592873279,469,male,35,44,44,0.9959475975865281,1,1,1633.6546218446315,1462.900505594125,6022.348501524745,1403.6318477727523,5.226003500253308,othercentric,59,1276,12,29.317358812390722,789.3486857012388,1052.4510163103373,215.73560396196302,6.035464136104965,-0.06812061607982692,34.5108740713978,0.3336981418064051,-167.24235036876428,0.3745723416845239,-0.526228530716589
8,different,frog,R,B,1639378896790,1639552651200,439,male,33,44,44,0.9968161655459796,1,1,1633.654386156532,1462.9002832076326,6022.348573485628,1459.9274268103006,6.180503384172952,othercentric,35,794,11,70.69010597160649,952.8352520712538,1331.8562015169678,199.0650722034103,0.1001841356848665,-0.06775420571932035,28.378951963934444,0.46574988611978374,-4.872853441635115,0.856135158827671,-0.5362693375445204
9,different,clock,F,R,1639130939477,1638964394994,1070,female,33,44,44,0.8019013887964244,0,0,1633.6551917863578,1462.8984641168927,6022.349564072776,1538.55854749907,7.1667371013790255,mixed,57,236,12,-1.2355585463791652,1100.2842228314137,1226.921323763828,100.46246969766915,-18.657386956583245,0.0009410995678005296,5.884841932424614,0.2141935547943526,-49.51674203241781,-0.26670136527338495,0.5488515398684681
