,workerID,perspective,targetObj,targetPos,respObjPos,utteranceOffsetTime,respDropTime,respTime,gender,age,acc,total,accuracy.prop,own.cod,other.cod,meanRespTime,sdRespTime,upper,byPptMeanRespTime,logRespTime,responderType,aq_score_subset,opt_score_total,opt_n,opt_score,congruent,incongruent,stroop_difference,aq_score_subset_centred,aq_score_subset_centred_scaled,opt_score_centred,opt_score_centred_scaled,stroop_difference_centred,stroop_difference_centred_scaled,perspective_cod
0,XZRNA2F,different,stapler,F,L,1639417669964,1639483683379,427,female,53,40,44,0.9757555902888868,0,0,1633.6580093839837,1462.89841799967,6022.349400362126,2715.147372641709,8.923159822178834,mixed,30,1452,12,133.77847037922177,963.7050681754125,1031.5495153120903,85.87244163253052,-20.12354926008148,-0.10569064878435042,49.89441383650262,0.7969186470241896,77.273538423007,-0.2227199265605109,0.47213756345625696
1,1R9GA1U,same,cheese,R,B,1639108389739,1639076296150,2111,male,33,44,44,0.9970490071570257,1,0,1633.6569148374006,1462.8975334569404,6022.351993751591,2286.2566428551404,7.015804732410054,egocentric,20,370,12,16.264922245514736,944.0951004974817,1124.9799061734757,94.8878473295319,-26.468920152495173,-0.23639967218710606,69.33572779946893,-0.03722089589016464,-57.95330418504132,0.10852418481987036,-0.4843332573358374
2,EHDVA2R,same,mushroom,B,R,1639154651781,1638990081785,394,female,53,43,43,0.997372971241175,1,0,1633.658137846602,1462.900171312608,6022.349022898955,2328.441834645479,8.800123390292915,egocentric,26,29,12,19.373788037098343,848.7505567449782,1020.075386660492,40.54526690682118,-1.2705449498315906,0.026672991048879928,-47.92920060310954,-0.5173557094938867,79.24031466322843,1.7572401553479766,-0.4680367232477229
3,8YJAA3F,same,shoe,R,R,1638814482960,1639619670172,301,male,44,43,44,0.8643205091706929,1,0,1633.6545918714985,1462.8978673705838,6022.352478153478,1114.3466129468404,7.260880098628274,othercentric,28,350,12,-5.396706504446421,1066.4824882374273,1077.3568024250412,166.45333473604205,-16.13259554094986,0.06747526494583297,-35.50091673513849,0.3792930204630482,60.85560057208296,0.7960925300305779,-0.4968846574696928
4,JS4HA3O,same,clock,L,F,1639095033510,1639019881428,632,female,38,44,43,0.9993189742069977,1,0,1633.6552804886103,1462.8984752447511,6022.3485460733655,1573.1964427116104,6.382839779999577,egocentric,45,193,12,4.032710754165235,593.7839759206653,777.7260193551805,166.93159481362187,-2.62022849803074,0.2067573221639855,-63.84686844861319,-0.47167164424533115,134.73855190644778,1.0175669316441307,-0.451351148040743
5,BXT9A96,different,vase,B,B,1639383763395,1638882538321,952,male,69,41,44,0.9798003080564304,1,0,1633.6569835229102,1462.8979308723513,6022.348271372685,1310.5082873486335,8.099327471283631,mixed,61,1184,12,10.738466357422908,866.6274298659863,1085.7590917319098,97.0899137286865,18.797584938604963,0.23805640772306283,-2.793597229240552,-0.1450810024326403,-11.6675484345119,-0.3821793934328629,0.47921411879355347
6,6N02AFC,same,clock,B,R,1638873588423,1638911970315,455,female,56,44,44,1.0013687507399727,1,0,1633.6564476367555,1462.8969624278034,6022.350206653266,1850.749210653993,6.268201960797887,egocentric,55,367,12,91.72145070114189,862.0874599623575,925.9142224257189,257.32819029185265,10.312456237398148,-0.014284170645464932,7.7773237049430435,-0.46515231797220624,82.96638468232831,-1.3810490037220804,-0.48069026181219465
7,5WKVA3E,different,stapler,L,R,1639014498040,1638856184988,964,male,30,40,44,0.9720430371959213,1,0,1633.6570796277438,1462.8963694820984,6022.351256898216,1504.686944256047,7.229432988164499,othercentric,57,656,12,19.40476537374929,937.6379297820965,971.0838403277398,94.96361127667014,-12.922500425530735,0.0031795199016068053,-23.652233081592904,0.2319949761960777,-8.806366136678271,-0.2918420698237869,-0.504356915113341
8,L67NA3C,same,mushroom,F,R,1639167692778,1638922723081,1125,male,42,44,44,0.884981446572867,1,0,1633.6579311542948,1462.8997245166474,6022.3503989584915,1271.4304675491687,6.978305554462768,egocentric,57,1553,12,79.95607010766474,824.4322591400121,1276.5907337069311,141.26351980153146,-12.722095915151515,-0.10419514617264616,-19.97140481454364,0.3616333707251743,25.120162558420148,-0.04446629478993325,-0.5278377846576549
9,XZ0KA1Y,same,vase,F,L,1639040667720,1639079193645,499,male,36,44,43,0.9981404731083331,1,0,1633.6572055119407,1462.8993434965516,6022.349269349721,1026.136143766848,7.2859741262008715,egocentric,36,304,12,-2.979134531436534,745.6235811482456,1034.0126390655932,42.03034522443477,25.242574735461524,0.14974122453328265,-64.02010649491496,-0.5871145268506981,140.99886621720566,0.0663826709316177,-0.4865873008290611
